iso_code,country,date,owid_diabetes_prevalence
AFG,Afghanistan,2020-09-17,9.59
AFG,Afghanistan,2020-09-18,9.59
AFG,Afghanistan,2020-09-19,9.59
AFG,Afghanistan,2020-09-20,9.59
AFG,Afghanistan,2020-09-21,9.59
AFG,Afghanistan,2020-09-22,9.59
AFG,Afghanistan,2020-09-23,9.59
AFG,Afghanistan,2020-09-24,9.59
AFG,Afghanistan,2020-09-25,9.59
AFG,Afghanistan,2020-09-26,9.59
AFG,Afghanistan,2020-09-27,9.59
AFG,Afghanistan,2020-09-28,9.59
AFG,Afghanistan,2020-09-29,9.59
AFG,Afghanistan,2020-09-30,9.59
AFG,Afghanistan,2020-10-01,9.59
AFG,Afghanistan,2020-10-02,9.59
AFG,Afghanistan,2020-10-03,9.59
AFG,Afghanistan,2020-10-04,9.59
AFG,Afghanistan,2020-10-05,9.59
AFG,Afghanistan,2020-10-06,9.59
AFG,Afghanistan,2020-10-07,9.59
AFG,Afghanistan,2020-10-08,9.59
AFG,Afghanistan,2020-10-09,9.59
AFG,Afghanistan,2020-10-10,9.59
AGO,Angola,2020-03-22,3.94
AGO,Angola,2020-03-23,3.94
AGO,Angola,2020-03-24,3.94
AGO,Angola,2020-03-25,3.94
AGO,Angola,2020-03-26,3.94
AGO,Angola,2020-03-27,3.94
AGO,Angola,2020-03-28,3.94
AGO,Angola,2020-03-29,3.94
AGO,Angola,2020-03-30,3.94
AGO,Angola,2020-03-31,3.94
AGO,Angola,2020-04-01,3.94
AGO,Angola,2020-04-02,3.94
AGO,Angola,2020-04-03,3.94
AGO,Angola,2020-04-04,3.94
AGO,Angola,2020-04-05,3.94
AGO,Angola,2020-04-06,3.94
AGO,Angola,2020-04-07,3.94
AGO,Angola,2020-04-08,3.94
AGO,Angola,2020-04-09,3.94
AGO,Angola,2020-04-10,3.94
AGO,Angola,2020-04-11,3.94
AGO,Angola,2020-04-12,3.94
AGO,Angola,2020-04-13,3.94
AGO,Angola,2020-04-14,3.94
AGO,Angola,2020-04-15,3.94
AGO,Angola,2020-04-16,3.94
AGO,Angola,2020-04-17,3.94
AGO,Angola,2020-04-18,3.94
AGO,Angola,2020-04-19,3.94
AGO,Angola,2020-04-20,3.94
AGO,Angola,2020-04-21,3.94
AGO,Angola,2020-04-22,3.94
AGO,Angola,2020-04-23,3.94
AGO,Angola,2020-04-24,3.94
AGO,Angola,2020-04-25,3.94
AGO,Angola,2020-04-26,3.94
AGO,Angola,2020-04-27,3.94
AGO,Angola,2020-04-28,3.94
AGO,Angola,2020-04-29,3.94
AGO,Angola,2020-04-30,3.94
AGO,Angola,2020-05-01,3.94
AGO,Angola,2020-05-02,3.94
AGO,Angola,2020-05-03,3.94
AGO,Angola,2020-05-04,3.94
AGO,Angola,2020-05-05,3.94
AGO,Angola,2020-05-06,3.94
AGO,Angola,2020-05-07,3.94
AGO,Angola,2020-05-08,3.94
AGO,Angola,2020-05-09,3.94
AGO,Angola,2020-05-10,3.94
AGO,Angola,2020-05-11,3.94
AGO,Angola,2020-05-12,3.94
AGO,Angola,2020-05-13,3.94
AGO,Angola,2020-05-14,3.94
AGO,Angola,2020-05-15,3.94
AGO,Angola,2020-05-16,3.94
AGO,Angola,2020-05-17,3.94
AGO,Angola,2020-05-18,3.94
AGO,Angola,2020-05-19,3.94
AGO,Angola,2020-05-20,3.94
AGO,Angola,2020-05-21,3.94
AGO,Angola,2020-05-22,3.94
AGO,Angola,2020-05-23,3.94
AGO,Angola,2020-05-24,3.94
AGO,Angola,2020-05-25,3.94
AGO,Angola,2020-05-26,3.94
AGO,Angola,2020-05-27,3.94
AGO,Angola,2020-05-28,3.94
AGO,Angola,2020-05-29,3.94
AGO,Angola,2020-05-30,3.94
AGO,Angola,2020-05-31,3.94
AGO,Angola,2020-06-01,3.94
AGO,Angola,2020-06-02,3.94
AGO,Angola,2020-06-03,3.94
AGO,Angola,2020-06-04,3.94
AGO,Angola,2020-06-05,3.94
AGO,Angola,2020-06-06,3.94
AGO,Angola,2020-06-07,3.94
AGO,Angola,2020-06-08,3.94
AGO,Angola,2020-06-09,3.94
AGO,Angola,2020-06-10,3.94
AGO,Angola,2020-06-11,3.94
AGO,Angola,2020-06-12,3.94
AGO,Angola,2020-06-13,3.94
AGO,Angola,2020-06-14,3.94
AGO,Angola,2020-06-15,3.94
AGO,Angola,2020-06-16,3.94
AGO,Angola,2020-06-17,3.94
AGO,Angola,2020-06-18,3.94
AGO,Angola,2020-06-19,3.94
AGO,Angola,2020-06-20,3.94
AGO,Angola,2020-06-21,3.94
AGO,Angola,2020-06-22,3.94
AGO,Angola,2020-06-23,3.94
AGO,Angola,2020-06-24,3.94
AGO,Angola,2020-06-25,3.94
AGO,Angola,2020-06-26,3.94
AGO,Angola,2020-06-27,3.94
AGO,Angola,2020-06-28,3.94
AGO,Angola,2020-06-29,3.94
AGO,Angola,2020-06-30,3.94
AGO,Angola,2020-07-01,3.94
AGO,Angola,2020-07-02,3.94
AGO,Angola,2020-07-03,3.94
AGO,Angola,2020-07-04,3.94
AGO,Angola,2020-07-05,3.94
AGO,Angola,2020-07-06,3.94
AGO,Angola,2020-07-07,3.94
AGO,Angola,2020-07-08,3.94
AGO,Angola,2020-07-09,3.94
AGO,Angola,2020-07-10,3.94
AGO,Angola,2020-07-11,3.94
AGO,Angola,2020-07-12,3.94
AGO,Angola,2020-07-13,3.94
AGO,Angola,2020-07-14,3.94
AGO,Angola,2020-07-15,3.94
AGO,Angola,2020-07-16,3.94
AGO,Angola,2020-07-17,3.94
AGO,Angola,2020-07-18,3.94
AGO,Angola,2020-07-19,3.94
AGO,Angola,2020-07-20,3.94
AGO,Angola,2020-07-21,3.94
AGO,Angola,2020-07-22,3.94
AGO,Angola,2020-07-23,3.94
AGO,Angola,2020-07-24,3.94
AGO,Angola,2020-07-25,3.94
AGO,Angola,2020-07-26,3.94
AGO,Angola,2020-07-27,3.94
AGO,Angola,2020-07-28,3.94
AGO,Angola,2020-07-29,3.94
AGO,Angola,2020-07-30,3.94
AGO,Angola,2020-07-31,3.94
AGO,Angola,2020-08-01,3.94
AGO,Angola,2020-08-02,3.94
AGO,Angola,2020-08-03,3.94
AGO,Angola,2020-08-04,3.94
AGO,Angola,2020-08-05,3.94
AGO,Angola,2020-08-06,3.94
AGO,Angola,2020-08-07,3.94
AGO,Angola,2020-08-08,3.94
AGO,Angola,2020-08-09,3.94
AGO,Angola,2020-08-10,3.94
AGO,Angola,2020-08-11,3.94
AGO,Angola,2020-08-12,3.94
