iso_code,country,date,yougov_avoiding_raw_meat
DNK,Denmark,2020-09-23,11
DNK,Denmark,2020-10-12,7
DNK,Denmark,2020-11-05,7
ESP,Spain,2020-03-12,10
ESP,Spain,2020-03-19,13
ESP,Spain,2020-03-25,16
ESP,Spain,2020-04-02,14
ESP,Spain,2020-04-08,14
ESP,Spain,2020-04-16,15
ESP,Spain,2020-04-23,14
ESP,Spain,2020-04-30,15
ESP,Spain,2020-05-20,15
ESP,Spain,2020-05-28,15
ESP,Spain,2020-06-08,8
ESP,Spain,2020-06-12,12
ESP,Spain,2020-06-21,13
ESP,Spain,2020-06-25,14
ESP,Spain,2020-07-09,10
ESP,Spain,2020-07-16,13
ESP,Spain,2020-07-23,12
ESP,Spain,2020-07-30,13
ESP,Spain,2020-08-06,14
ESP,Spain,2020-08-25,12
ESP,Spain,2020-09-04,16
ESP,Spain,2020-09-10,12
ESP,Spain,2020-09-18,14
ESP,Spain,2020-09-23,13
ESP,Spain,2020-09-30,14
ESP,Spain,2020-10-16,12
ESP,Spain,2020-11-04,11
ESP,Spain,2020-11-16,17
FIN,Finland,2020-03-16,10
FIN,Finland,2020-03-23,10
FIN,Finland,2020-03-29,15
FIN,Finland,2020-04-05,12
FIN,Finland,2020-04-12,17
FIN,Finland,2020-04-19,10
FIN,Finland,2020-04-26,11
FIN,Finland,2020-05-03,7
FIN,Finland,2020-06-20,10
FIN,Finland,2020-09-06,14
FIN,Finland,2020-09-20,11
FIN,Finland,2020-10-12,9
FIN,Finland,2020-11-03,9
FRA,France,2020-03-10,6
FRA,France,2020-03-13,6
FRA,France,2020-03-20,8
FRA,France,2020-03-27,11
FRA,France,2020-04-03,10
FRA,France,2020-04-10,11
FRA,France,2020-04-17,10
FRA,France,2020-04-24,10
FRA,France,2020-05-01,9
FRA,France,2020-05-20,8
FRA,France,2020-05-27,11
FRA,France,2020-06-04,6
FRA,France,2020-06-12,8
FRA,France,2020-06-17,8
FRA,France,2020-06-24,8
FRA,France,2020-07-01,7
FRA,France,2020-07-16,8
FRA,France,2020-07-22,7
FRA,France,2020-07-31,10
FRA,France,2020-08-07,8
FRA,France,2020-08-12,7
FRA,France,2020-09-02,9
FRA,France,2020-09-10,7
FRA,France,2020-09-22,6
FRA,France,2020-09-30,7
FRA,France,2020-10-15,6
FRA,France,2020-10-22,6
FRA,France,2020-10-28,7
FRA,France,2020-11-04,8
FRA,France,2020-11-18,5
GBR,United Kingdom,2020-03-01,6
GBR,United Kingdom,2020-03-13,6
GBR,United Kingdom,2020-03-20,9
GBR,United Kingdom,2020-03-27,12
GBR,United Kingdom,2020-04-03,10
GBR,United Kingdom,2020-04-14,13
GBR,United Kingdom,2020-04-17,12
GBR,United Kingdom,2020-04-24,12
GBR,United Kingdom,2020-05-01,14
GBR,United Kingdom,2020-05-15,13
GBR,United Kingdom,2020-05-21,11
GBR,United Kingdom,2020-05-30,14
GBR,United Kingdom,2020-06-05,9
GBR,United Kingdom,2020-06-16,10
GBR,United Kingdom,2020-06-25,13
GBR,United Kingdom,2020-07-03,14
GBR,United Kingdom,2020-07-12,12
GBR,United Kingdom,2020-07-26,10
GBR,United Kingdom,2020-07-31,14
GBR,United Kingdom,2020-08-12,12
GBR,United Kingdom,2020-08-25,10
GBR,United Kingdom,2020-09-08,10
GBR,United Kingdom,2020-09-16,9
GBR,United Kingdom,2020-09-29,12
GBR,United Kingdom,2020-10-07,12
GBR,United Kingdom,2020-10-22,10
GBR,United Kingdom,2020-11-18,12
HKG,Hong Kong SAR China,2020-02-25,47
HKG,Hong Kong SAR China,2020-03-03,44
HKG,Hong Kong SAR China,2020-03-10,44
HKG,Hong Kong SAR China,2020-03-17,43
HKG,Hong Kong SAR China,2020-03-24,46
HKG,Hong Kong SAR China,2020-03-31,48
HKG,Hong Kong SAR China,2020-04-07,49
HKG,Hong Kong SAR China,2020-04-14,51
HKG,Hong Kong SAR China,2020-04-21,48
HKG,Hong Kong SAR China,2020-04-28,50
HKG,Hong Kong SAR China,2020-05-05,47
HKG,Hong Kong SAR China,2020-05-25,50
HKG,Hong Kong SAR China,2020-06-08,49
HKG,Hong Kong SAR China,2020-06-22,50
HKG,Hong Kong SAR China,2020-07-06,46
HKG,Hong Kong SAR China,2020-07-21,48
HKG,Hong Kong SAR China,2020-08-04,51
HKG,Hong Kong SAR China,2020-08-18,53
HKG,Hong Kong SAR China,2020-08-31,54
HKG,Hong Kong SAR China,2020-09-15,49
HKG,Hong Kong SAR China,2020-09-28,51
HKG,Hong Kong SAR China,2020-10-12,48
HKG,Hong Kong SAR China,2020-10-27,50
HKG,Hong Kong SAR China,2020-11-09,51
IDN,Indonesia,2020-02-24,37
IDN,Indonesia,2020-03-02,41
IDN,Indonesia,2020-03-09,36
IDN,Indonesia,2020-03-16,33
IDN,Indonesia,2020-03-23,35
IDN,Indonesia,2020-03-30,37
IDN,Indonesia,2020-04-06,27
IDN,Indonesia,2020-04-13,29
IDN,Indonesia,2020-04-20,31
IDN,Indonesia,2020-04-27,30
IDN,Indonesia,2020-05-04,35
IDN,Indonesia,2020-05-22,28
IDN,Indonesia,2020-06-08,27
IDN,Indonesia,2020-06-22,24
IDN,Indonesia,2020-07-06,26
IDN,Indonesia,2020-07-20,28
IDN,Indonesia,2020-08-03,21
IDN,Indonesia,2020-08-17,25
IDN,Indonesia,2020-08-31,29
IDN,Indonesia,2020-09-14,27
IDN,Indonesia,2020-09-28,26
IDN,Indonesia,2020-10-12,26
IDN,Indonesia,2020-10-26,30
IDN,Indonesia,2020-11-09,24
IND,India,2020-03-16,46
IND,India,2020-03-20,48
IND,India,2020-03-27,52
IND,India,2020-04-03,49
IND,India,2020-04-10,54
IND,India,2020-04-17,54
IND,India,2020-04-24,56
IND,India,2020-05-01,52
IND,India,2020-07-23,50
IND,India,2020-08-02,50
IND,India,2020-08-05,49
IND,India,2020-08-14,51
IND,India,2020-08-21,48
IND,India,2020-09-18,45
IND,India,2020-09-24,51
IND,India,2020-10-02,41
IND,India,2020-10-11,42
IND,India,2020-10-19,45
IND,India,2020-10-23,42
IND,India,2020-10-31,41
ITA,Italy,2020-03-11,12
ITA,Italy,2020-03-16,10
ITA,Italy,2020-03-19,13
ITA,Italy,2020-03-25,14
ITA,Italy,2020-04-03,14
ITA,Italy,2020-04-09,15
ITA,Italy,2020-04-16,13
ITA,Italy,2020-04-23,13
ITA,Italy,2020-04-30,14
ITA,Italy,2020-05-26,10
ITA,Italy,2020-06-02,11
ITA,Italy,2020-06-10,10
ITA,Italy,2020-06-17,11
ITA,Italy,2020-06-23,14
ITA,Italy,2020-07-07,11
ITA,Italy,2020-07-14,12
ITA,Italy,2020-07-21,11
ITA,Italy,2020-07-28,10
ITA,Italy,2020-08-18,10
ITA,Italy,2020-08-25,11
ITA,Italy,2020-09-01,10
ITA,Italy,2020-09-09,11
ITA,Italy,2020-09-16,8
ITA,Italy,2020-09-29,9
ITA,Italy,2020-10-06,10
ITA,Italy,2020-10-13,9
ITA,Italy,2020-10-20,13
ITA,Italy,2020-10-27,8
ITA,Italy,2020-11-03,11
ITA,Italy,2020-11-10,10
ITA,Italy,2020-11-17,10
JPN,Japan,2020-03-17,15
JPN,Japan,2020-03-24,13
JPN,Japan,2020-03-30,14
JPN,Japan,2020-04-06,18
JPN,Japan,2020-04-13,20
JPN,Japan,2020-04-20,18
JPN,Japan,2020-04-27,22
JPN,Japan,2020-05-04,20
MEX,Mexico,2020-03-17,17
MEX,Mexico,2020-03-23,18
MEX,Mexico,2020-03-30,17
MEX,Mexico,2020-04-06,20
MEX,Mexico,2020-04-13,21
MEX,Mexico,2020-04-20,21
MEX,Mexico,2020-04-27,21
MYS,Malaysia,2020-02-24,48
MYS,Malaysia,2020-03-02,49
MYS,Malaysia,2020-03-09,45
MYS,Malaysia,2020-03-16,49
MYS,Malaysia,2020-03-23,48
MYS,Malaysia,2020-03-30,47
MYS,Malaysia,2020-04-06,47
MYS,Malaysia,2020-04-13,43
MYS,Malaysia,2020-04-20,44
MYS,Malaysia,2020-04-27,48
MYS,Malaysia,2020-05-04,45
MYS,Malaysia,2020-05-25,45
MYS,Malaysia,2020-06-08,39
MYS,Malaysia,2020-06-22,46
MYS,Malaysia,2020-07-06,40
MYS,Malaysia,2020-07-20,44
MYS,Malaysia,2020-08-03,34
MYS,Malaysia,2020-08-17,38
MYS,Malaysia,2020-08-31,35
MYS,Malaysia,2020-09-14,34
MYS,Malaysia,2020-09-28,36
MYS,Malaysia,2020-10-12,31
MYS,Malaysia,2020-10-26,35
MYS,Malaysia,2020-11-09,35
NOR,Norway,2020-03-16,7
NOR,Norway,2020-03-23,7
NOR,Norway,2020-03-29,11
NOR,Norway,2020-04-05,13
NOR,Norway,2020-04-12,13
NOR,Norway,2020-04-19,8
NOR,Norway,2020-04-26,12
NOR,Norway,2020-05-03,14
NOR,Norway,2020-05-25,10
NOR,Norway,2020-09-14,12
NOR,Norway,2020-09-27,10
NOR,Norway,2020-10-11,9
NOR,Norway,2020-11-09,11
PHL,Philippines,2020-02-24,48
PHL,Philippines,2020-03-02,49
PHL,Philippines,2020-03-09,46
PHL,Philippines,2020-03-16,44
PHL,Philippines,2020-03-23,44
PHL,Philippines,2020-03-30,49
PHL,Philippines,2020-04-06,45
PHL,Philippines,2020-04-13,47
PHL,Philippines,2020-04-20,48
PHL,Philippines,2020-04-27,48
PHL,Philippines,2020-05-04,46
PHL,Philippines,2020-05-25,43
PHL,Philippines,2020-06-08,39
PHL,Philippines,2020-06-22,40
PHL,Philippines,2020-07-06,39
PHL,Philippines,2020-07-20,45
PHL,Philippines,2020-08-03,36
PHL,Philippines,2020-08-17,44
PHL,Philippines,2020-08-31,41
PHL,Philippines,2020-09-14,44
PHL,Philippines,2020-09-28,42
PHL,Philippines,2020-10-12,41
PHL,Philippines,2020-10-26,36
PHL,Philippines,2020-11-09,39
SAU,Saudi Arabia,2020-03-18,30
SAU,Saudi Arabia,2020-03-25,39
SAU,Saudi Arabia,2020-04-01,41
SAU,Saudi Arabia,2020-04-07,37
SAU,Saudi Arabia,2020-04-14,42
SAU,Saudi Arabia,2020-04-22,40
SAU,Saudi Arabia,2020-04-29,41
SAU,Saudi Arabia,2020-05-04,40
SAU,Saudi Arabia,2020-06-03,41
SAU,Saudi Arabia,2020-06-10,38
SAU,Saudi Arabia,2020-06-17,31
SAU,Saudi Arabia,2020-07-13,33
SAU,Saudi Arabia,2020-07-29,38
SAU,Saudi Arabia,2020-08-10,31
SAU,Saudi Arabia,2020-08-19,32
SAU,Saudi Arabia,2020-08-31,32
SAU,Saudi Arabia,2020-09-30,29
SAU,Saudi Arabia,2020-10-07,32
SAU,Saudi Arabia,2020-10-14,28
SAU,Saudi Arabia,2020-11-02,28
SAU,Saudi Arabia,2020-11-09,29
SAU,Saudi Arabia,2020-11-17,29
SGP,Singapore,2020-02-21,51
SGP,Singapore,2020-02-28,51
SGP,Singapore,2020-03-06,49
SGP,Singapore,2020-03-13,40
SGP,Singapore,2020-03-20,49
SGP,Singapore,2020-03-27,45
SGP,Singapore,2020-04-03,48
SGP,Singapore,2020-04-10,48
SGP,Singapore,2020-04-17,44
SGP,Singapore,2020-04-24,46
SGP,Singapore,2020-05-01,46
SGP,Singapore,2020-05-22,43
SGP,Singapore,2020-06-05,43
SGP,Singapore,2020-06-19,48
SGP,Singapore,2020-07-07,42
SGP,Singapore,2020-07-20,42
SGP,Singapore,2020-08-03,43
SGP,Singapore,2020-08-14,40
SGP,Singapore,2020-08-28,37
SGP,Singapore,2020-09-11,38
SGP,Singapore,2020-09-25,38
SGP,Singapore,2020-10-09,39
SGP,Singapore,2020-10-23,40
SGP,Singapore,2020-11-06,41
SWE,Sweden,2020-03-16,6
SWE,Sweden,2020-03-23,7
SWE,Sweden,2020-03-29,8
SWE,Sweden,2020-04-05,10
SWE,Sweden,2020-04-12,13
SWE,Sweden,2020-04-19,9
SWE,Sweden,2020-04-26,11
SWE,Sweden,2020-05-03,9
SWE,Sweden,2020-05-25,11
SWE,Sweden,2020-06-09,11
SWE,Sweden,2020-06-16,13
SWE,Sweden,2020-08-07,12
SWE,Sweden,2020-09-11,10
SWE,Sweden,2020-09-23,8
SWE,Sweden,2020-10-09,10
SWE,Sweden,2020-11-03,12
THA,Thailand,2020-02-24,47
THA,Thailand,2020-03-02,52
THA,Thailand,2020-03-09,49
THA,Thailand,2020-03-16,49
THA,Thailand,2020-03-23,49
THA,Thailand,2020-03-30,55
THA,Thailand,2020-04-06,51
THA,Thailand,2020-04-13,57
THA,Thailand,2020-04-20,57
THA,Thailand,2020-04-27,55
THA,Thailand,2020-05-04,53
THA,Thailand,2020-05-25,51
THA,Thailand,2020-06-08,49
THA,Thailand,2020-06-22,50
THA,Thailand,2020-07-06,49
THA,Thailand,2020-07-20,49
THA,Thailand,2020-08-03,46
THA,Thailand,2020-08-17,45
THA,Thailand,2020-08-31,43
THA,Thailand,2020-09-14,40
THA,Thailand,2020-09-28,45
THA,Thailand,2020-10-12,40
THA,Thailand,2020-10-26,41
THA,Thailand,2020-11-09,40
TWN,Taiwan,2020-02-25,42
TWN,Taiwan,2020-03-03,46
TWN,Taiwan,2020-03-10,47
TWN,Taiwan,2020-03-17,40
TWN,Taiwan,2020-03-24,48
TWN,Taiwan,2020-03-31,46
TWN,Taiwan,2020-04-07,49
TWN,Taiwan,2020-04-14,50
TWN,Taiwan,2020-04-21,50
TWN,Taiwan,2020-04-28,49
TWN,Taiwan,2020-05-05,46
TWN,Taiwan,2020-05-25,46
TWN,Taiwan,2020-06-08,42
TWN,Taiwan,2020-06-22,47
TWN,Taiwan,2020-07-06,46
TWN,Taiwan,2020-07-20,45
TWN,Taiwan,2020-08-03,42
TWN,Taiwan,2020-08-17,47
TWN,Taiwan,2020-08-31,40
TWN,Taiwan,2020-09-14,44
TWN,Taiwan,2020-09-28,45
TWN,Taiwan,2020-10-12,41
TWN,Taiwan,2020-10-27,45
TWN,Taiwan,2020-11-09,44
USA,United States,2020-03-02,13
USA,United States,2020-03-17,16
USA,United States,2020-03-23,16
USA,United States,2020-03-30,20
USA,United States,2020-04-06,21
USA,United States,2020-04-13,25
USA,United States,2020-04-20,22
USA,United States,2020-04-27,22
USA,United States,2020-05-26,21
USA,United States,2020-06-01,24
USA,United States,2020-06-08,19
USA,United States,2020-06-15,20
USA,United States,2020-06-22,22
USA,United States,2020-07-06,20
USA,United States,2020-07-14,21
USA,United States,2020-07-20,16
USA,United States,2020-07-27,21
USA,United States,2020-08-03,19
USA,United States,2020-08-10,23
USA,United States,2020-08-17,23
USA,United States,2020-08-25,18
USA,United States,2020-09-01,21
USA,United States,2020-09-08,18
USA,United States,2020-09-14,24
USA,United States,2020-09-21,20
USA,United States,2020-09-28,20
USA,United States,2020-10-06,20
USA,United States,2020-10-12,26
USA,United States,2020-10-19,18
USA,United States,2020-10-26,21
USA,United States,2020-11-02,22
USA,United States,2020-11-09,25
USA,United States,2020-11-16,23
VNM,Vietnam,2020-03-23,38
VNM,Vietnam,2020-03-30,50
VNM,Vietnam,2020-04-06,52
VNM,Vietnam,2020-04-13,48
VNM,Vietnam,2020-04-20,49
VNM,Vietnam,2020-04-27,54
VNM,Vietnam,2020-05-04,53
VNM,Vietnam,2020-05-25,48
VNM,Vietnam,2020-06-08,45
VNM,Vietnam,2020-06-22,46
VNM,Vietnam,2020-07-06,41
VNM,Vietnam,2020-07-20,51
VNM,Vietnam,2020-08-03,41
VNM,Vietnam,2020-08-17,45
VNM,Vietnam,2020-08-31,38
VNM,Vietnam,2020-09-14,40
VNM,Vietnam,2020-09-28,42
VNM,Vietnam,2020-10-12,42
VNM,Vietnam,2020-10-26,43
VNM,Vietnam,2020-11-09,42
