iso_code,country,date,owid_gdp_per_capita
ABW,Aruba,2020-10-13,35973.781
ABW,Aruba,2020-10-14,35973.781
ABW,Aruba,2020-10-15,35973.781
ABW,Aruba,2020-10-16,35973.781
AFG,Afghanistan,2019-12-31,1803.987
AFG,Afghanistan,2020-01-01,1803.987
AFG,Afghanistan,2020-01-02,1803.987
AFG,Afghanistan,2020-01-03,1803.987
AFG,Afghanistan,2020-01-04,1803.987
AFG,Afghanistan,2020-01-05,1803.987
AFG,Afghanistan,2020-01-06,1803.987
AFG,Afghanistan,2020-01-07,1803.987
AFG,Afghanistan,2020-01-08,1803.987
AFG,Afghanistan,2020-01-09,1803.987
AFG,Afghanistan,2020-01-10,1803.987
AFG,Afghanistan,2020-01-11,1803.987
AFG,Afghanistan,2020-01-12,1803.987
AFG,Afghanistan,2020-01-13,1803.987
AFG,Afghanistan,2020-01-14,1803.987
AFG,Afghanistan,2020-01-15,1803.987
AFG,Afghanistan,2020-01-16,1803.987
AFG,Afghanistan,2020-01-17,1803.987
AFG,Afghanistan,2020-01-18,1803.987
AFG,Afghanistan,2020-01-19,1803.987
AFG,Afghanistan,2020-01-20,1803.987
AFG,Afghanistan,2020-01-21,1803.987
AFG,Afghanistan,2020-01-22,1803.987
AFG,Afghanistan,2020-01-23,1803.987
AFG,Afghanistan,2020-01-24,1803.987
AFG,Afghanistan,2020-01-25,1803.987
AFG,Afghanistan,2020-01-26,1803.987
AFG,Afghanistan,2020-01-27,1803.987
AFG,Afghanistan,2020-01-28,1803.987
AFG,Afghanistan,2020-01-29,1803.987
AFG,Afghanistan,2020-01-30,1803.987
AFG,Afghanistan,2020-01-31,1803.987
AFG,Afghanistan,2020-02-01,1803.987
AFG,Afghanistan,2020-02-02,1803.987
AFG,Afghanistan,2020-02-03,1803.987
AFG,Afghanistan,2020-02-04,1803.987
AFG,Afghanistan,2020-02-05,1803.987
AFG,Afghanistan,2020-02-06,1803.987
AFG,Afghanistan,2020-02-07,1803.987
AFG,Afghanistan,2020-02-08,1803.987
AFG,Afghanistan,2020-02-09,1803.987
AFG,Afghanistan,2020-02-10,1803.987
AFG,Afghanistan,2020-02-11,1803.987
AFG,Afghanistan,2020-02-12,1803.987
AFG,Afghanistan,2020-02-13,1803.987
AFG,Afghanistan,2020-02-14,1803.987
AFG,Afghanistan,2020-02-15,1803.987
AFG,Afghanistan,2020-02-16,1803.987
AFG,Afghanistan,2020-02-17,1803.987
AFG,Afghanistan,2020-02-18,1803.987
AFG,Afghanistan,2020-02-19,1803.987
AFG,Afghanistan,2020-02-20,1803.987
AFG,Afghanistan,2020-02-21,1803.987
AFG,Afghanistan,2020-02-22,1803.987
AFG,Afghanistan,2020-02-23,1803.987
AFG,Afghanistan,2020-02-24,1803.987
AFG,Afghanistan,2020-02-25,1803.987
AFG,Afghanistan,2020-02-26,1803.987
AFG,Afghanistan,2020-02-27,1803.987
AFG,Afghanistan,2020-02-28,1803.987
AFG,Afghanistan,2020-02-29,1803.987
AFG,Afghanistan,2020-03-01,1803.987
AFG,Afghanistan,2020-03-02,1803.987
AFG,Afghanistan,2020-03-03,1803.987
AFG,Afghanistan,2020-03-04,1803.987
AFG,Afghanistan,2020-03-05,1803.987
AFG,Afghanistan,2020-03-06,1803.987
AFG,Afghanistan,2020-03-07,1803.987
AFG,Afghanistan,2020-03-08,1803.987
AFG,Afghanistan,2020-03-09,1803.987
AFG,Afghanistan,2020-03-10,1803.987
AFG,Afghanistan,2020-03-11,1803.987
AFG,Afghanistan,2020-03-12,1803.987
AFG,Afghanistan,2020-03-13,1803.987
AFG,Afghanistan,2020-03-14,1803.987
AFG,Afghanistan,2020-03-15,1803.987
AFG,Afghanistan,2020-03-16,1803.987
AFG,Afghanistan,2020-03-17,1803.987
AFG,Afghanistan,2020-03-18,1803.987
AFG,Afghanistan,2020-03-19,1803.987
AFG,Afghanistan,2020-03-20,1803.987
AFG,Afghanistan,2020-03-21,1803.987
AFG,Afghanistan,2020-03-22,1803.987
AFG,Afghanistan,2020-03-23,1803.987
AFG,Afghanistan,2020-03-24,1803.987
AFG,Afghanistan,2020-03-25,1803.987
AFG,Afghanistan,2020-03-26,1803.987
AFG,Afghanistan,2020-03-27,1803.987
AFG,Afghanistan,2020-03-28,1803.987
AFG,Afghanistan,2020-03-29,1803.987
AFG,Afghanistan,2020-03-30,1803.987
AFG,Afghanistan,2020-03-31,1803.987
AFG,Afghanistan,2020-04-01,1803.987
AFG,Afghanistan,2020-04-02,1803.987
AFG,Afghanistan,2020-04-03,1803.987
AFG,Afghanistan,2020-04-04,1803.987
AFG,Afghanistan,2020-04-05,1803.987
AFG,Afghanistan,2020-04-06,1803.987
AFG,Afghanistan,2020-04-07,1803.987
AFG,Afghanistan,2020-04-08,1803.987
AFG,Afghanistan,2020-04-09,1803.987
AFG,Afghanistan,2020-04-10,1803.987
AFG,Afghanistan,2020-04-11,1803.987
AFG,Afghanistan,2020-04-12,1803.987
AFG,Afghanistan,2020-04-13,1803.987
AFG,Afghanistan,2020-04-14,1803.987
AFG,Afghanistan,2020-04-15,1803.987
AFG,Afghanistan,2020-04-16,1803.987
AFG,Afghanistan,2020-04-17,1803.987
AFG,Afghanistan,2020-04-18,1803.987
AFG,Afghanistan,2020-04-19,1803.987
