iso_code,country,date,owid_weekly_excess_mortality_p_score_15_64
CHL,Chile,2020-10-25,21.56
CHL,Chile,2020-11-01,21.3
CHL,Chile,2020-11-08,16.81
CHL,Chile,2020-11-15,9.49
CHL,Chile,2020-11-22,9.78
CHL,Chile,2020-11-29,9.06
CHL,Chile,2020-12-06,8.07
CHL,Chile,2020-12-13,7.11
CHL,Chile,2020-12-20,14.86
CHL,Chile,2020-12-27,23.16
CHL,Chile,2021-01-03,15.9
CHL,Chile,2021-01-10,14.86
CHL,Chile,2021-01-17,27.06
CHL,Chile,2021-01-24,27.64
CZE,Czech Republic,2020-01-05,-3.57
CZE,Czech Republic,2020-01-12,-7.15
CZE,Czech Republic,2020-01-19,-17.63
CZE,Czech Republic,2020-01-26,-5.37
CZE,Czech Republic,2020-02-02,-10.55
CZE,Czech Republic,2020-02-09,-13.76
CZE,Czech Republic,2020-02-16,-18.07
CZE,Czech Republic,2020-02-23,-14.18
CZE,Czech Republic,2020-03-01,-10.64
CZE,Czech Republic,2020-03-08,-5.98
CZE,Czech Republic,2020-03-15,-11.85
CZE,Czech Republic,2020-03-22,-4.87
CZE,Czech Republic,2020-03-29,1.18
CZE,Czech Republic,2020-04-05,-7.64
CZE,Czech Republic,2020-04-12,-4.29
CZE,Czech Republic,2020-04-19,2.25
CZE,Czech Republic,2020-04-26,-9.38
CZE,Czech Republic,2020-05-03,-7.65
CZE,Czech Republic,2020-05-10,-11.7
CZE,Czech Republic,2020-05-17,3.47
CZE,Czech Republic,2020-05-24,-14.31
CZE,Czech Republic,2020-05-31,-23.04
CZE,Czech Republic,2020-06-07,-7.4
CZE,Czech Republic,2020-06-14,-8.24
CZE,Czech Republic,2020-06-21,-0.16
CZE,Czech Republic,2020-06-28,-3.44
CZE,Czech Republic,2020-07-05,1.03
CZE,Czech Republic,2020-07-12,-6.63
CZE,Czech Republic,2020-07-19,-10.04
CZE,Czech Republic,2020-07-26,4.99
CZE,Czech Republic,2020-08-02,4.9
CZE,Czech Republic,2020-08-09,-2.79
CZE,Czech Republic,2020-08-16,3.5
CZE,Czech Republic,2020-08-23,7.58
CZE,Czech Republic,2020-08-30,-5.91
CZE,Czech Republic,2020-09-06,-2.16
CZE,Czech Republic,2020-09-13,-9.22
CZE,Czech Republic,2020-09-20,-1.91
CZE,Czech Republic,2020-09-27,4.53
CZE,Czech Republic,2020-10-04,0.44
CZE,Czech Republic,2020-10-11,1.57
CZE,Czech Republic,2020-10-18,14.39
CZE,Czech Republic,2020-10-25,24.72
CZE,Czech Republic,2020-11-01,38.97
CZE,Czech Republic,2020-11-08,36.16
CZE,Czech Republic,2020-11-15,25.41
CZE,Czech Republic,2020-11-22,30.56
CZE,Czech Republic,2020-11-29,16.54
CZE,Czech Republic,2020-12-06,20.76
CZE,Czech Republic,2020-12-13,4.71
CZE,Czech Republic,2020-12-20,17.62
CZE,Czech Republic,2020-12-27,17.68
DEU,Germany,2020-01-05,-2.36
DEU,Germany,2020-01-12,-2.18
DEU,Germany,2020-01-19,1.21
DEU,Germany,2020-01-26,-5.42
DEU,Germany,2020-02-02,-2.59
DEU,Germany,2020-02-09,-4.9
DEU,Germany,2020-02-16,-3.6
DEU,Germany,2020-02-23,-7.74
DEU,Germany,2020-03-01,-8.28
DEU,Germany,2020-03-08,-9.11
DEU,Germany,2020-03-15,-4.27
DEU,Germany,2020-03-22,-0.59
DEU,Germany,2020-03-29,1.34
DEU,Germany,2020-04-05,2.33
DEU,Germany,2020-04-12,4.99
DEU,Germany,2020-04-19,0.82
DEU,Germany,2020-04-26,-0.82
DEU,Germany,2020-05-03,0.32
DEU,Germany,2020-05-10,-0.37
DEU,Germany,2020-05-17,2.34
DEU,Germany,2020-05-24,0.08
DEU,Germany,2020-05-31,1.11
DEU,Germany,2020-06-07,-1.83
DEU,Germany,2020-06-14,0.54
DEU,Germany,2020-06-21,-3.98
DEU,Germany,2020-06-28,-0.13
DEU,Germany,2020-07-05,1.11
DEU,Germany,2020-07-12,-0.68
DEU,Germany,2020-07-19,-1.77
DEU,Germany,2020-07-26,-3.4
DEU,Germany,2020-08-02,-0.42
DEU,Germany,2020-08-09,-0.4
DEU,Germany,2020-08-16,12.34
DEU,Germany,2020-08-23,-2.76
DEU,Germany,2020-08-30,-4.69
DEU,Germany,2020-09-06,-0.22
DEU,Germany,2020-09-13,-0.19
DEU,Germany,2020-09-20,1.98
DEU,Germany,2020-09-27,0.21
DEU,Germany,2020-10-04,0.24
DEU,Germany,2020-10-11,-2.01
DEU,Germany,2020-10-18,0.4
DEU,Germany,2020-10-25,4.04
DEU,Germany,2020-11-01,-2.07
DEU,Germany,2020-11-08,-0.67
DEU,Germany,2020-11-15,-2.23
DEU,Germany,2020-11-22,3.46
DEU,Germany,2020-11-29,1.16
DEU,Germany,2020-12-06,3.12
DEU,Germany,2020-12-13,7.38
DEU,Germany,2020-12-20,4.62
DEU,Germany,2020-12-27,6.77
DEU,Germany,2021-01-03,8.9
DNK,Denmark,2020-01-05,-12.4
DNK,Denmark,2020-01-12,-0.24
DNK,Denmark,2020-01-19,-15.16
DNK,Denmark,2020-01-26,-13.75
DNK,Denmark,2020-02-02,6.12
DNK,Denmark,2020-02-09,-7.19
DNK,Denmark,2020-02-16,-19.84
DNK,Denmark,2020-02-23,3.18
DNK,Denmark,2020-03-01,-23.35
DNK,Denmark,2020-03-08,-12.74
DNK,Denmark,2020-03-15,-11.1
DNK,Denmark,2020-03-22,-14.98
DNK,Denmark,2020-03-29,-22.2
DNK,Denmark,2020-04-05,-2.25
DNK,Denmark,2020-04-12,-19.22
DNK,Denmark,2020-04-19,-5.23
DNK,Denmark,2020-04-26,2.19
DNK,Denmark,2020-05-03,-20.0
DNK,Denmark,2020-05-10,-2.3
DNK,Denmark,2020-05-17,-10.12
DNK,Denmark,2020-05-24,-13.47
DNK,Denmark,2020-05-31,-8.78
DNK,Denmark,2020-06-07,-6.84
DNK,Denmark,2020-06-14,3.12
DNK,Denmark,2020-06-21,-7.38
DNK,Denmark,2020-06-28,-6.29
DNK,Denmark,2020-07-05,6.04
DNK,Denmark,2020-07-12,-8.64
DNK,Denmark,2020-07-19,-4.31
DNK,Denmark,2020-07-26,-6.86
DNK,Denmark,2020-08-02,2.53
DNK,Denmark,2020-08-09,-9.33
DNK,Denmark,2020-08-16,5.01
DNK,Denmark,2020-08-23,-10.64
DNK,Denmark,2020-08-30,-8.47
DNK,Denmark,2020-09-06,-18.68
DNK,Denmark,2020-09-13,-4.05
DNK,Denmark,2020-09-20,-7.01
DNK,Denmark,2020-09-27,-7.86
DNK,Denmark,2020-10-04,-18.76
DNK,Denmark,2020-10-11,-18.14
DNK,Denmark,2020-10-18,-1.23
DNK,Denmark,2020-10-25,9.23
DNK,Denmark,2020-11-01,1.66
DNK,Denmark,2020-11-08,-13.86
DNK,Denmark,2020-11-15,-16.56
DNK,Denmark,2020-11-22,-6.72
DNK,Denmark,2020-11-29,-0.39
DNK,Denmark,2020-12-06,-7.43
DNK,Denmark,2020-12-13,-11.76
DNK,Denmark,2020-12-20,-5.35
DNK,Denmark,2020-12-27,-11.21
DNK,Denmark,2021-01-03,-4.54
DNK,Denmark,2021-01-10,-0.48
DNK,Denmark,2021-01-17,-16.77
DNK,Denmark,2021-01-24,-11.27
DNK,Denmark,2021-01-31,-8.12
ESP,Spain,2020-01-05,-6.09
ESP,Spain,2020-01-12,-7.7
