iso_code,country,date,owid_population_density
AFG,Afghanistan,2020-02-21,54.422
AFG,Afghanistan,2020-02-22,54.422
AFG,Afghanistan,2020-02-23,54.422
AFG,Afghanistan,2020-02-24,54.422
AFG,Afghanistan,2020-02-25,54.422
AFG,Afghanistan,2020-02-26,54.422
AFG,Afghanistan,2020-02-27,54.422
AFG,Afghanistan,2020-02-28,54.422
AFG,Afghanistan,2020-02-29,54.422
AFG,Afghanistan,2020-03-01,54.422
AFG,Afghanistan,2020-03-02,54.422
AFG,Afghanistan,2020-03-03,54.422
AFG,Afghanistan,2020-03-04,54.422
AFG,Afghanistan,2020-03-05,54.422
AFG,Afghanistan,2020-03-06,54.422
AFG,Afghanistan,2020-03-07,54.422
AFG,Afghanistan,2020-03-08,54.422
AFG,Afghanistan,2020-03-09,54.422
AFG,Afghanistan,2020-03-10,54.422
AFG,Afghanistan,2020-03-11,54.422
AFG,Afghanistan,2020-03-12,54.422
AFG,Afghanistan,2020-03-13,54.422
AFG,Afghanistan,2020-03-14,54.422
AFG,Afghanistan,2020-03-15,54.422
AFG,Afghanistan,2020-03-16,54.422
AFG,Afghanistan,2020-03-17,54.422
AFG,Afghanistan,2020-03-18,54.422
AFG,Afghanistan,2020-03-19,54.422
AFG,Afghanistan,2020-03-20,54.422
AFG,Afghanistan,2020-03-21,54.422
AFG,Afghanistan,2020-03-22,54.422
AFG,Afghanistan,2020-03-23,54.422
AFG,Afghanistan,2020-03-24,54.422
AFG,Afghanistan,2020-03-25,54.422
AFG,Afghanistan,2020-03-26,54.422
AFG,Afghanistan,2020-03-27,54.422
AFG,Afghanistan,2020-03-28,54.422
AFG,Afghanistan,2020-03-29,54.422
AFG,Afghanistan,2020-03-30,54.422
AFG,Afghanistan,2020-03-31,54.422
AFG,Afghanistan,2020-04-01,54.422
AFG,Afghanistan,2020-04-02,54.422
AFG,Afghanistan,2020-04-03,54.422
AFG,Afghanistan,2020-04-04,54.422
AFG,Afghanistan,2020-04-05,54.422
AFG,Afghanistan,2020-04-06,54.422
AFG,Afghanistan,2020-04-07,54.422
AFG,Afghanistan,2020-04-08,54.422
AFG,Afghanistan,2020-04-09,54.422
AFG,Afghanistan,2020-04-10,54.422
AFG,Afghanistan,2020-04-11,54.422
AFG,Afghanistan,2020-04-12,54.422
AFG,Afghanistan,2020-04-13,54.422
AFG,Afghanistan,2020-04-14,54.422
AFG,Afghanistan,2020-04-15,54.422
AFG,Afghanistan,2020-04-16,54.422
AFG,Afghanistan,2020-04-17,54.422
AFG,Afghanistan,2020-04-18,54.422
AFG,Afghanistan,2020-04-19,54.422
AFG,Afghanistan,2020-04-20,54.422
AFG,Afghanistan,2020-04-21,54.422
AFG,Afghanistan,2020-04-22,54.422
AFG,Afghanistan,2020-04-23,54.422
AFG,Afghanistan,2020-04-24,54.422
AFG,Afghanistan,2020-04-25,54.422
AFG,Afghanistan,2020-04-26,54.422
AFG,Afghanistan,2020-04-27,54.422
AFG,Afghanistan,2020-04-28,54.422
AFG,Afghanistan,2020-04-29,54.422
AFG,Afghanistan,2020-04-30,54.422
AFG,Afghanistan,2020-05-01,54.422
AFG,Afghanistan,2020-05-02,54.422
AFG,Afghanistan,2020-05-03,54.422
AFG,Afghanistan,2020-05-04,54.422
AFG,Afghanistan,2020-05-05,54.422
AFG,Afghanistan,2020-05-06,54.422
AFG,Afghanistan,2020-05-07,54.422
AFG,Afghanistan,2020-05-08,54.422
AFG,Afghanistan,2020-05-09,54.422
