iso_code,country,date,owid_extreme_poverty
AFG,Afghanistan,2020-07-01,
AFG,Afghanistan,2020-07-02,
AFG,Afghanistan,2020-07-03,
AFG,Afghanistan,2020-07-04,
AFG,Afghanistan,2020-07-05,
AFG,Afghanistan,2020-07-06,
AFG,Afghanistan,2020-07-07,
AFG,Afghanistan,2020-07-08,
AFG,Afghanistan,2020-07-09,
AFG,Afghanistan,2020-07-10,
AFG,Afghanistan,2020-07-11,
AFG,Afghanistan,2020-07-12,
AFG,Afghanistan,2020-07-13,
AFG,Afghanistan,2020-07-14,
AFG,Afghanistan,2020-07-15,
AFG,Afghanistan,2020-07-16,
AFG,Afghanistan,2020-07-17,
AFG,Afghanistan,2020-07-18,
AFG,Afghanistan,2020-07-19,
AFG,Afghanistan,2020-07-20,
AFG,Afghanistan,2020-07-21,
AFG,Afghanistan,2020-07-22,
AFG,Afghanistan,2020-07-23,
AFG,Afghanistan,2020-07-24,
AFG,Afghanistan,2020-07-25,
AFG,Afghanistan,2020-07-26,
AGO,Angola,2020-03-22,
AGO,Angola,2020-03-23,
AGO,Angola,2020-03-24,
AGO,Angola,2020-03-25,
AGO,Angola,2020-03-26,
AGO,Angola,2020-03-27,
AGO,Angola,2020-03-28,
AGO,Angola,2020-03-29,
AGO,Angola,2020-03-30,
AGO,Angola,2020-03-31,
AGO,Angola,2020-04-01,
AGO,Angola,2020-04-02,
AGO,Angola,2020-04-03,
AGO,Angola,2020-04-04,
AGO,Angola,2020-04-05,
AGO,Angola,2020-04-06,
AGO,Angola,2020-04-07,
AGO,Angola,2020-04-08,
AGO,Angola,2020-04-09,
AGO,Angola,2020-04-10,
AGO,Angola,2020-04-11,
AGO,Angola,2020-04-12,
AGO,Angola,2020-04-13,
AGO,Angola,2020-04-14,
AGO,Angola,2020-04-15,
AGO,Angola,2020-04-16,
AGO,Angola,2020-04-17,
AGO,Angola,2020-04-18,
AGO,Angola,2020-04-19,
AGO,Angola,2020-04-20,
AGO,Angola,2020-04-21,
AGO,Angola,2020-04-22,
AGO,Angola,2020-04-23,
AGO,Angola,2020-04-24,
AGO,Angola,2020-04-25,
AGO,Angola,2020-04-26,
AGO,Angola,2020-04-27,
AGO,Angola,2020-04-28,
AGO,Angola,2020-04-29,
AGO,Angola,2020-04-30,
AGO,Angola,2020-05-01,
AGO,Angola,2020-05-02,
AGO,Angola,2020-05-03,
AGO,Angola,2020-05-04,
AGO,Angola,2020-05-05,
AGO,Angola,2020-05-06,
AGO,Angola,2020-05-07,
AGO,Angola,2020-05-08,
AGO,Angola,2020-05-09,
AGO,Angola,2020-05-10,
AGO,Angola,2020-05-11,
AGO,Angola,2020-05-12,
AGO,Angola,2020-05-13,
AGO,Angola,2020-05-14,
AGO,Angola,2020-05-15,
AGO,Angola,2020-05-16,
AGO,Angola,2020-05-17,
AGO,Angola,2020-05-18,
AGO,Angola,2020-05-19,
AGO,Angola,2020-05-20,
AGO,Angola,2020-05-21,
AGO,Angola,2020-05-22,
AGO,Angola,2020-05-23,
AGO,Angola,2020-05-24,
AGO,Angola,2020-05-25,
AGO,Angola,2020-05-26,
AGO,Angola,2020-05-27,
AGO,Angola,2020-05-28,
AGO,Angola,2020-05-29,
AGO,Angola,2020-05-30,
AGO,Angola,2020-05-31,
AGO,Angola,2020-06-01,
AGO,Angola,2020-06-02,
AGO,Angola,2020-06-03,
AGO,Angola,2020-06-04,
AGO,Angola,2020-06-05,
AGO,Angola,2020-06-06,
AGO,Angola,2020-06-07,
AGO,Angola,2020-06-08,
AGO,Angola,2020-06-09,
AGO,Angola,2020-06-10,
AGO,Angola,2020-06-11,
AGO,Angola,2020-06-12,
AGO,Angola,2020-06-13,
AGO,Angola,2020-06-14,
AGO,Angola,2020-06-15,
AGO,Angola,2020-06-16,
AGO,Angola,2020-06-17,
AGO,Angola,2020-06-18,
AGO,Angola,2020-06-19,
AGO,Angola,2020-06-20,
AGO,Angola,2020-06-21,
AGO,Angola,2020-06-22,
AGO,Angola,2020-06-23,
AGO,Angola,2020-06-24,
AGO,Angola,2020-06-25,
AGO,Angola,2020-06-26,
AGO,Angola,2020-06-27,
AGO,Angola,2020-06-28,
AGO,Angola,2020-06-29,
AGO,Angola,2020-06-30,
AGO,Angola,2020-07-01,
AGO,Angola,2020-07-02,
AGO,Angola,2020-07-03,
AGO,Angola,2020-07-04,
AGO,Angola,2020-07-05,
AGO,Angola,2020-07-06,
AGO,Angola,2020-07-07,
AGO,Angola,2020-07-08,
AGO,Angola,2020-07-09,
AGO,Angola,2020-07-10,
AGO,Angola,2020-07-11,
AGO,Angola,2020-07-12,
AGO,Angola,2020-07-13,
AGO,Angola,2020-07-14,
AGO,Angola,2020-07-15,
AGO,Angola,2020-07-16,
AGO,Angola,2020-07-17,
AGO,Angola,2020-07-18,
AGO,Angola,2020-07-19,
AGO,Angola,2020-07-20,
AGO,Angola,2020-07-21,
AGO,Angola,2020-07-22,
AGO,Angola,2020-07-23,
AGO,Angola,2020-07-24,
AGO,Angola,2020-07-25,
AGO,Angola,2020-07-26,
AIA,Anguilla,2020-03-27,
AIA,Anguilla,2020-03-28,
AIA,Anguilla,2020-03-29,
AIA,Anguilla,2020-03-30,
AIA,Anguilla,2020-03-31,
AIA,Anguilla,2020-04-01,
AIA,Anguilla,2020-04-02,
AIA,Anguilla,2020-04-03,
AIA,Anguilla,2020-04-04,
AIA,Anguilla,2020-04-05,
AIA,Anguilla,2020-04-06,
AIA,Anguilla,2020-04-07,
AIA,Anguilla,2020-04-08,
AIA,Anguilla,2020-04-09,
AIA,Anguilla,2020-04-10,
AIA,Anguilla,2020-04-11,
AIA,Anguilla,2020-04-12,
AIA,Anguilla,2020-04-13,
AIA,Anguilla,2020-04-14,
AIA,Anguilla,2020-04-15,
AIA,Anguilla,2020-04-16,
AIA,Anguilla,2020-04-17,
AIA,Anguilla,2020-04-18,
AIA,Anguilla,2020-04-19,
AIA,Anguilla,2020-04-20,
AIA,Anguilla,2020-04-21,
AIA,Anguilla,2020-04-22,
AIA,Anguilla,2020-04-23,
AIA,Anguilla,2020-04-24,
AIA,Anguilla,2020-04-25,
AIA,Anguilla,2020-04-26,
AIA,Anguilla,2020-04-27,
AIA,Anguilla,2020-04-28,
AIA,Anguilla,2020-04-29,
AIA,Anguilla,2020-04-30,
AIA,Anguilla,2020-05-01,
AIA,Anguilla,2020-05-02,
AIA,Anguilla,2020-05-03,
AIA,Anguilla,2020-05-04,
AIA,Anguilla,2020-05-05,
AIA,Anguilla,2020-05-06,
AIA,Anguilla,2020-05-07,
AIA,Anguilla,2020-05-08,
AIA,Anguilla,2020-05-09,
AIA,Anguilla,2020-05-10,
AIA,Anguilla,2020-05-11,
AIA,Anguilla,2020-05-12,
AIA,Anguilla,2020-05-13,
AIA,Anguilla,2020-05-14,
AIA,Anguilla,2020-05-15,
AIA,Anguilla,2020-05-16,
AIA,Anguilla,2020-05-17,
AIA,Anguilla,2020-05-18,
AIA,Anguilla,2020-05-19,
AIA,Anguilla,2020-05-20,
AIA,Anguilla,2020-05-21,
AIA,Anguilla,2020-05-22,
AIA,Anguilla,2020-05-23,
AIA,Anguilla,2020-05-24,
AIA,Anguilla,2020-05-25,
AIA,Anguilla,2020-05-26,
AIA,Anguilla,2020-05-27,
