iso_code,country,date,owid_male_smokers
MEX,Mexico,2020-04-07,21.4
MEX,Mexico,2020-04-08,21.4
MEX,Mexico,2020-04-09,21.4
MEX,Mexico,2020-04-10,21.4
MEX,Mexico,2020-04-11,21.4
MEX,Mexico,2020-04-12,21.4
MEX,Mexico,2020-04-13,21.4
MEX,Mexico,2020-04-14,21.4
MEX,Mexico,2020-04-15,21.4
MEX,Mexico,2020-04-16,21.4
MEX,Mexico,2020-04-17,21.4
MEX,Mexico,2020-04-18,21.4
MEX,Mexico,2020-04-19,21.4
MEX,Mexico,2020-04-20,21.4
MEX,Mexico,2020-04-21,21.4
MEX,Mexico,2020-04-22,21.4
MEX,Mexico,2020-04-23,21.4
MEX,Mexico,2020-04-24,21.4
MEX,Mexico,2020-04-25,21.4
MEX,Mexico,2020-04-26,21.4
MEX,Mexico,2020-04-27,21.4
MEX,Mexico,2020-04-28,21.4
MEX,Mexico,2020-04-29,21.4
MEX,Mexico,2020-04-30,21.4
MEX,Mexico,2020-05-01,21.4
MEX,Mexico,2020-05-02,21.4
MEX,Mexico,2020-05-03,21.4
MEX,Mexico,2020-05-04,21.4
MEX,Mexico,2020-05-05,21.4
MEX,Mexico,2020-05-06,21.4
MEX,Mexico,2020-05-07,21.4
MEX,Mexico,2020-05-08,21.4
MEX,Mexico,2020-05-09,21.4
MEX,Mexico,2020-05-10,21.4
MEX,Mexico,2020-05-11,21.4
MEX,Mexico,2020-05-12,21.4
MEX,Mexico,2020-05-13,21.4
MEX,Mexico,2020-05-14,21.4
MEX,Mexico,2020-05-15,21.4
MEX,Mexico,2020-05-16,21.4
MEX,Mexico,2020-05-17,21.4
MEX,Mexico,2020-05-18,21.4
MEX,Mexico,2020-05-19,21.4
MEX,Mexico,2020-05-20,21.4
MEX,Mexico,2020-05-21,21.4
MEX,Mexico,2020-05-22,21.4
MEX,Mexico,2020-05-23,21.4
MEX,Mexico,2020-05-24,21.4
MEX,Mexico,2020-05-25,21.4
MEX,Mexico,2020-05-26,21.4
MEX,Mexico,2020-05-27,21.4
MEX,Mexico,2020-05-28,21.4
MEX,Mexico,2020-05-29,21.4
MEX,Mexico,2020-05-30,21.4
MEX,Mexico,2020-05-31,21.4
MEX,Mexico,2020-06-01,21.4
MEX,Mexico,2020-06-02,21.4
MEX,Mexico,2020-06-03,21.4
MEX,Mexico,2020-06-04,21.4
MEX,Mexico,2020-06-05,21.4
MEX,Mexico,2020-06-06,21.4
MEX,Mexico,2020-06-07,21.4
MEX,Mexico,2020-06-08,21.4
MEX,Mexico,2020-06-09,21.4
MEX,Mexico,2020-06-10,21.4
MEX,Mexico,2020-06-11,21.4
MEX,Mexico,2020-06-12,21.4
MEX,Mexico,2020-06-13,21.4
MEX,Mexico,2020-06-14,21.4
MEX,Mexico,2020-06-15,21.4
MEX,Mexico,2020-06-16,21.4
MEX,Mexico,2020-06-17,21.4
MEX,Mexico,2020-06-18,21.4
MEX,Mexico,2020-06-19,21.4
MEX,Mexico,2020-06-20,21.4
MEX,Mexico,2020-06-21,21.4
MEX,Mexico,2020-06-22,21.4
MEX,Mexico,2020-06-23,21.4
MEX,Mexico,2020-06-24,21.4
MEX,Mexico,2020-06-25,21.4
MEX,Mexico,2020-06-26,21.4
MEX,Mexico,2020-06-27,21.4
MEX,Mexico,2020-06-28,21.4
