iso_code,country,date,owid_median_age
AGO,Angola,2020-05-14,16.8
AGO,Angola,2020-05-15,16.8
AGO,Angola,2020-05-16,16.8
AGO,Angola,2020-05-17,16.8
AGO,Angola,2020-05-18,16.8
AGO,Angola,2020-05-19,16.8
AGO,Angola,2020-05-20,16.8
AGO,Angola,2020-05-21,16.8
AGO,Angola,2020-05-22,16.8
AGO,Angola,2020-05-23,16.8
AGO,Angola,2020-05-24,16.8
AGO,Angola,2020-05-25,16.8
AGO,Angola,2020-05-26,16.8
AGO,Angola,2020-05-27,16.8
AGO,Angola,2020-05-28,16.8
AGO,Angola,2020-05-29,16.8
AGO,Angola,2020-05-30,16.8
AGO,Angola,2020-05-31,16.8
AGO,Angola,2020-06-01,16.8
AGO,Angola,2020-06-02,16.8
AGO,Angola,2020-06-03,16.8
AGO,Angola,2020-06-04,16.8
AGO,Angola,2020-06-05,16.8
AGO,Angola,2020-06-06,16.8
AGO,Angola,2020-06-07,16.8
AGO,Angola,2020-06-08,16.8
AGO,Angola,2020-06-09,16.8
AGO,Angola,2020-06-10,16.8
AGO,Angola,2020-06-11,16.8
AGO,Angola,2020-06-12,16.8
AGO,Angola,2020-06-13,16.8
AGO,Angola,2020-06-14,16.8
AGO,Angola,2020-06-15,16.8
AGO,Angola,2020-06-16,16.8
AGO,Angola,2020-06-17,16.8
AGO,Angola,2020-06-18,16.8
AGO,Angola,2020-06-19,16.8
AGO,Angola,2020-06-20,16.8
AGO,Angola,2020-06-21,16.8
AGO,Angola,2020-06-22,16.8
AGO,Angola,2020-06-23,16.8
AGO,Angola,2020-06-24,16.8
AGO,Angola,2020-06-25,16.8
AGO,Angola,2020-06-26,16.8
AGO,Angola,2020-06-27,16.8
AGO,Angola,2020-06-28,16.8
AGO,Angola,2020-06-29,16.8
AGO,Angola,2020-06-30,16.8
AGO,Angola,2020-07-01,16.8
AGO,Angola,2020-07-02,16.8
AGO,Angola,2020-07-03,16.8
AGO,Angola,2020-07-04,16.8
AGO,Angola,2020-07-05,16.8
