iso_code,country,date,owid_handwashing_facilities
AFG,Afghanistan,2021-02-02,37.746
AFG,Afghanistan,2021-02-03,37.746
AFG,Afghanistan,2021-02-04,37.746
AFG,Afghanistan,2021-02-05,37.746
AFG,Afghanistan,2021-02-06,37.746
AFG,Afghanistan,2021-02-07,37.746
AFG,Afghanistan,2021-02-08,37.746
AFG,Afghanistan,2021-02-09,37.746
AFG,Afghanistan,2021-02-10,37.746
AFG,Afghanistan,2021-02-11,37.746
AFG,Afghanistan,2021-02-12,37.746
AFG,Afghanistan,2021-02-13,37.746
AFG,Afghanistan,2021-02-14,37.746
AFG,Afghanistan,2021-02-15,37.746
AFG,Afghanistan,2021-02-16,37.746
AFG,Afghanistan,2021-02-17,37.746
AFG,Afghanistan,2021-02-18,37.746
AFG,Afghanistan,2021-02-19,37.746
AFG,Afghanistan,2021-02-20,37.746
AFG,Afghanistan,2021-02-21,37.746
AFG,Afghanistan,2021-02-22,37.746
AFG,Afghanistan,2021-02-23,37.746
AFG,Afghanistan,2021-02-24,37.746
AFG,Afghanistan,2021-02-25,37.746
AFG,Afghanistan,2021-02-26,37.746
AFG,Afghanistan,2021-02-27,37.746
AFG,Afghanistan,2021-02-28,37.746
AFG,Afghanistan,2021-03-01,37.746
AFG,Afghanistan,2021-03-02,37.746
AFG,Afghanistan,2021-03-03,37.746
AFG,Afghanistan,2021-03-04,37.746
AFG,Afghanistan,2021-03-05,37.746
AFG,Afghanistan,2021-03-06,37.746
AFG,Afghanistan,2021-03-07,37.746
AFG,Afghanistan,2021-03-08,37.746
AFG,Afghanistan,2021-03-09,37.746
AFG,Afghanistan,2021-03-10,37.746
AFG,Afghanistan,2021-03-11,37.746
AFG,Afghanistan,2021-03-12,37.746
AFG,Afghanistan,2021-03-13,37.746
AFG,Afghanistan,2021-03-14,37.746
AFG,Afghanistan,2021-03-15,37.746
AFG,Afghanistan,2021-03-16,37.746
AFG,Afghanistan,2021-03-17,37.746
AFG,Afghanistan,2021-03-18,37.746
AFG,Afghanistan,2021-03-19,37.746
AFG,Afghanistan,2021-03-20,37.746
AFG,Afghanistan,2021-03-21,37.746
AFG,Afghanistan,2021-03-22,37.746
AFG,Afghanistan,2021-03-23,37.746
AFG,Afghanistan,2021-03-24,37.746
AFG,Afghanistan,2021-03-25,37.746
AFG,Afghanistan,2021-03-26,37.746
AFG,Afghanistan,2021-03-27,37.746
AFG,Afghanistan,2021-03-28,37.746
AFG,Afghanistan,2021-03-29,37.746
AFG,Afghanistan,2021-03-30,37.746
AFG,Afghanistan,2021-03-31,37.746
AFG,Afghanistan,2021-04-01,37.746
AFG,Afghanistan,2021-04-02,37.746
AFG,Afghanistan,2021-04-03,37.746
AFG,Afghanistan,2021-04-04,37.746
AFG,Afghanistan,2021-04-05,37.746
AFG,Afghanistan,2021-04-06,37.746
AFG,Afghanistan,2021-04-07,37.746
AFG,Afghanistan,2021-04-08,37.746
AFG,Afghanistan,2021-04-09,37.746
AFG,Afghanistan,2021-04-10,37.746
AFG,Afghanistan,2021-04-11,37.746
AFG,Afghanistan,2021-04-12,37.746
AFG,Afghanistan,2021-04-13,37.746
AFG,Afghanistan,2021-04-14,37.746
AFG,Afghanistan,2021-04-15,37.746
AFG,Afghanistan,2021-04-16,37.746
AFG,Afghanistan,2021-04-17,37.746
AFG,Afghanistan,2021-04-18,37.746
AFG,Afghanistan,2021-04-19,37.746
AFG,Afghanistan,2021-04-20,37.746
AFG,Afghanistan,2021-04-21,37.746
AFG,Afghanistan,2021-04-22,37.746
AFG,Afghanistan,2021-04-23,37.746
AFG,Afghanistan,2021-04-24,37.746
AFG,Afghanistan,2021-04-25,37.746
AFG,Afghanistan,2021-04-26,37.746
AFG,Afghanistan,2021-04-27,37.746
AFG,Afghanistan,2021-04-28,37.746
AFG,Afghanistan,2021-04-29,37.746
AFG,Afghanistan,2021-04-30,37.746
AFG,Afghanistan,2021-05-01,37.746
AFG,Afghanistan,2021-05-02,37.746
AGO,Angola,2020-03-20,26.664
AGO,Angola,2020-03-21,26.664
AGO,Angola,2020-03-22,26.664
AGO,Angola,2020-03-23,26.664
AGO,Angola,2020-03-24,26.664
AGO,Angola,2020-03-25,26.664
AGO,Angola,2020-03-26,26.664
AGO,Angola,2020-03-27,26.664
AGO,Angola,2020-03-28,26.664
AGO,Angola,2020-03-29,26.664
AGO,Angola,2020-03-30,26.664
AGO,Angola,2020-03-31,26.664
AGO,Angola,2020-04-01,26.664
AGO,Angola,2020-04-02,26.664
AGO,Angola,2020-04-03,26.664
AGO,Angola,2020-04-04,26.664
AGO,Angola,2020-04-05,26.664
AGO,Angola,2020-04-06,26.664
AGO,Angola,2020-04-07,26.664
AGO,Angola,2020-04-08,26.664
AGO,Angola,2020-04-09,26.664
AGO,Angola,2020-04-10,26.664
AGO,Angola,2020-04-11,26.664
AGO,Angola,2020-04-12,26.664
