iso_code,country,date,owid_life_expectancy
AFG,Afghanistan,2021-03-28,64.83
AFG,Afghanistan,2021-03-29,64.83
AFG,Afghanistan,2021-03-30,64.83
AFG,Afghanistan,2021-03-31,64.83
AFG,Afghanistan,2021-04-01,64.83
AGO,Angola,2020-03-20,61.15
AGO,Angola,2020-03-21,61.15
AGO,Angola,2020-03-22,61.15
AGO,Angola,2020-03-23,61.15
AGO,Angola,2020-03-24,61.15
AGO,Angola,2020-03-25,61.15
AGO,Angola,2020-03-26,61.15
AGO,Angola,2020-03-27,61.15
AGO,Angola,2020-03-28,61.15
AGO,Angola,2020-03-29,61.15
AGO,Angola,2020-03-30,61.15
AGO,Angola,2020-03-31,61.15
AGO,Angola,2020-04-01,61.15
AGO,Angola,2020-04-02,61.15
AGO,Angola,2020-04-03,61.15
AGO,Angola,2020-04-04,61.15
AGO,Angola,2020-04-05,61.15
AGO,Angola,2020-04-06,61.15
AGO,Angola,2020-04-07,61.15
AGO,Angola,2020-04-08,61.15
AGO,Angola,2020-04-09,61.15
AGO,Angola,2020-04-10,61.15
AGO,Angola,2020-04-11,61.15
AGO,Angola,2020-04-12,61.15
AGO,Angola,2020-04-13,61.15
AGO,Angola,2020-04-14,61.15
AGO,Angola,2020-04-15,61.15
AGO,Angola,2020-04-16,61.15
AGO,Angola,2020-04-17,61.15
AGO,Angola,2020-04-18,61.15
AGO,Angola,2020-04-19,61.15
AGO,Angola,2020-04-20,61.15
AGO,Angola,2020-04-21,61.15
AGO,Angola,2020-04-22,61.15
AGO,Angola,2020-04-23,61.15
AGO,Angola,2020-04-24,61.15
AGO,Angola,2020-04-25,61.15
AGO,Angola,2020-04-26,61.15
AGO,Angola,2020-04-27,61.15
AGO,Angola,2020-04-28,61.15
AGO,Angola,2020-04-29,61.15
AGO,Angola,2020-04-30,61.15
AGO,Angola,2020-05-01,61.15
AGO,Angola,2020-05-02,61.15
AGO,Angola,2020-05-03,61.15
AGO,Angola,2020-05-04,61.15
AGO,Angola,2020-05-05,61.15
AGO,Angola,2020-05-06,61.15
AGO,Angola,2020-05-07,61.15
AGO,Angola,2020-05-08,61.15
AGO,Angola,2020-05-09,61.15
AGO,Angola,2020-05-10,61.15
AGO,Angola,2020-05-11,61.15
AGO,Angola,2020-05-12,61.15
AGO,Angola,2020-05-13,61.15
AGO,Angola,2020-05-14,61.15
AGO,Angola,2020-05-15,61.15
AGO,Angola,2020-05-16,61.15
AGO,Angola,2020-05-17,61.15
AGO,Angola,2020-05-18,61.15
AGO,Angola,2020-05-19,61.15
AGO,Angola,2020-05-20,61.15
AGO,Angola,2020-05-21,61.15
AGO,Angola,2020-05-22,61.15
AGO,Angola,2020-05-23,61.15
AGO,Angola,2020-05-24,61.15
AGO,Angola,2020-05-25,61.15
AGO,Angola,2020-05-26,61.15
AGO,Angola,2020-05-27,61.15
AGO,Angola,2020-05-28,61.15
AGO,Angola,2020-05-29,61.15
AGO,Angola,2020-05-30,61.15
AGO,Angola,2020-05-31,61.15
AGO,Angola,2020-06-01,61.15
AGO,Angola,2020-06-02,61.15
AGO,Angola,2020-06-03,61.15
AGO,Angola,2020-06-04,61.15
AGO,Angola,2020-06-05,61.15
AGO,Angola,2020-06-06,61.15
