iso_code,country,date,owid_population
AFG,Afghanistan,2020-04-10,38928341.0
AFG,Afghanistan,2020-04-11,38928341.0
AFG,Afghanistan,2020-04-12,38928341.0
AFG,Afghanistan,2020-04-13,38928341.0
AFG,Afghanistan,2020-04-14,38928341.0
AFG,Afghanistan,2020-04-15,38928341.0
AFG,Afghanistan,2020-04-16,38928341.0
AFG,Afghanistan,2020-04-17,38928341.0
AFG,Afghanistan,2020-04-18,38928341.0
AFG,Afghanistan,2020-04-19,38928341.0
AFG,Afghanistan,2020-04-20,38928341.0
AFG,Afghanistan,2020-04-21,38928341.0
AFG,Afghanistan,2020-04-22,38928341.0
AFG,Afghanistan,2020-04-23,38928341.0
AFG,Afghanistan,2020-04-24,38928341.0
AFG,Afghanistan,2020-04-25,38928341.0
AFG,Afghanistan,2020-04-26,38928341.0
AFG,Afghanistan,2020-04-27,38928341.0
AFG,Afghanistan,2020-04-28,38928341.0
AFG,Afghanistan,2020-04-29,38928341.0
AFG,Afghanistan,2020-04-30,38928341.0
AFG,Afghanistan,2020-05-01,38928341.0
AFG,Afghanistan,2020-05-02,38928341.0
AFG,Afghanistan,2020-05-03,38928341.0
AFG,Afghanistan,2020-05-04,38928341.0
AFG,Afghanistan,2020-05-05,38928341.0
AFG,Afghanistan,2020-05-06,38928341.0
AFG,Afghanistan,2020-05-07,38928341.0
AFG,Afghanistan,2020-05-08,38928341.0
AFG,Afghanistan,2020-05-09,38928341.0
AFG,Afghanistan,2020-05-10,38928341.0
AFG,Afghanistan,2020-05-11,38928341.0
AFG,Afghanistan,2020-05-12,38928341.0
AFG,Afghanistan,2020-05-13,38928341.0
AFG,Afghanistan,2020-05-14,38928341.0
AFG,Afghanistan,2020-05-15,38928341.0
AFG,Afghanistan,2020-05-16,38928341.0
AFG,Afghanistan,2020-05-17,38928341.0
AFG,Afghanistan,2020-05-18,38928341.0
AFG,Afghanistan,2020-05-19,38928341.0
AFG,Afghanistan,2020-05-20,38928341.0
AFG,Afghanistan,2020-05-21,38928341.0
AFG,Afghanistan,2020-05-22,38928341.0
AFG,Afghanistan,2020-05-23,38928341.0
AFG,Afghanistan,2020-05-24,38928341.0
AFG,Afghanistan,2020-05-25,38928341.0
AFG,Afghanistan,2020-05-26,38928341.0
AFG,Afghanistan,2020-05-27,38928341.0
AFG,Afghanistan,2020-05-28,38928341.0
AFG,Afghanistan,2020-05-29,38928341.0
AFG,Afghanistan,2020-05-30,38928341.0
AFG,Afghanistan,2020-05-31,38928341.0
AFG,Afghanistan,2020-06-01,38928341.0
AFG,Afghanistan,2020-06-02,38928341.0
AFG,Afghanistan,2020-06-03,38928341.0
AFG,Afghanistan,2020-06-04,38928341.0
AFG,Afghanistan,2020-06-05,38928341.0
AFG,Afghanistan,2020-06-06,38928341.0
AFG,Afghanistan,2020-06-07,38928341.0
AFG,Afghanistan,2020-06-08,38928341.0
AFG,Afghanistan,2020-06-09,38928341.0
AFG,Afghanistan,2020-06-10,38928341.0
AFG,Afghanistan,2020-06-11,38928341.0
AFG,Afghanistan,2020-06-12,38928341.0
AFG,Afghanistan,2020-06-13,38928341.0
AFG,Afghanistan,2020-06-14,38928341.0
AFG,Afghanistan,2020-06-15,38928341.0
AFG,Afghanistan,2020-06-16,38928341.0
AFG,Afghanistan,2020-06-17,38928341.0
AFG,Afghanistan,2020-06-18,38928341.0
AFG,Afghanistan,2020-06-19,38928341.0
AFG,Afghanistan,2020-06-20,38928341.0
AFG,Afghanistan,2020-06-21,38928341.0
AFG,Afghanistan,2020-06-22,38928341.0
AFG,Afghanistan,2020-06-23,38928341.0
AFG,Afghanistan,2020-06-24,38928341.0
AFG,Afghanistan,2020-06-25,38928341.0
AFG,Afghanistan,2020-06-26,38928341.0
AFG,Afghanistan,2020-06-27,38928341.0
AFG,Afghanistan,2020-06-28,38928341.0
AFG,Afghanistan,2020-06-29,38928341.0
AFG,Afghanistan,2020-06-30,38928341.0
AFG,Afghanistan,2020-07-01,38928341.0
AFG,Afghanistan,2020-07-02,38928341.0
AFG,Afghanistan,2020-07-03,38928341.0
AFG,Afghanistan,2020-07-04,38928341.0
AFG,Afghanistan,2020-07-05,38928341.0
AFG,Afghanistan,2020-07-06,38928341.0
AFG,Afghanistan,2020-07-07,38928341.0
AFG,Afghanistan,2020-07-08,38928341.0
AFG,Afghanistan,2020-07-09,38928341.0
AFG,Afghanistan,2020-07-10,38928341.0
AFG,Afghanistan,2020-07-11,38928341.0
AFG,Afghanistan,2020-07-12,38928341.0
AFG,Afghanistan,2020-07-13,38928341.0
AFG,Afghanistan,2020-07-14,38928341.0
AFG,Afghanistan,2020-07-15,38928341.0
AFG,Afghanistan,2020-07-16,38928341.0
AFG,Afghanistan,2020-07-17,38928341.0
AFG,Afghanistan,2020-07-18,38928341.0
AFG,Afghanistan,2020-07-19,38928341.0
AFG,Afghanistan,2020-07-20,38928341.0
AFG,Afghanistan,2020-07-21,38928341.0
AFG,Afghanistan,2020-07-22,38928341.0
AFG,Afghanistan,2020-07-23,38928341.0
AFG,Afghanistan,2020-07-24,38928341.0
AFG,Afghanistan,2020-07-25,38928341.0
AFG,Afghanistan,2020-07-26,38928341.0
AFG,Afghanistan,2020-07-27,38928341.0
AFG,Afghanistan,2020-07-28,38928341.0
AFG,Afghanistan,2020-07-29,38928341.0
AFG,Afghanistan,2020-07-30,38928341.0
AFG,Afghanistan,2020-07-31,38928341.0
AFG,Afghanistan,2020-08-01,38928341.0
AFG,Afghanistan,2020-08-02,38928341.0
AFG,Afghanistan,2020-08-03,38928341.0
AFG,Afghanistan,2020-08-04,38928341.0
AFG,Afghanistan,2020-08-05,38928341.0
AFG,Afghanistan,2020-08-06,38928341.0
AFG,Afghanistan,2020-08-07,38928341.0
AFG,Afghanistan,2020-08-08,38928341.0
AFG,Afghanistan,2020-08-09,38928341.0
AFG,Afghanistan,2020-08-10,38928341.0
AFG,Afghanistan,2020-08-11,38928341.0
AFG,Afghanistan,2020-08-12,38928341.0
AFG,Afghanistan,2020-08-13,38928341.0
AFG,Afghanistan,2020-08-14,38928341.0
AFG,Afghanistan,2020-08-15,38928341.0
AFG,Afghanistan,2020-08-16,38928341.0
AFG,Afghanistan,2020-08-17,38928341.0
AFG,Afghanistan,2020-08-18,38928341.0
AFG,Afghanistan,2020-08-19,38928341.0
AFG,Afghanistan,2020-08-20,38928341.0
AFG,Afghanistan,2020-08-21,38928341.0
AFG,Afghanistan,2020-08-22,38928341.0
AFG,Afghanistan,2020-08-23,38928341.0
AFG,Afghanistan,2020-08-24,38928341.0
AFG,Afghanistan,2020-08-25,38928341.0
AFG,Afghanistan,2020-08-26,38928341.0
AFG,Afghanistan,2020-08-27,38928341.0
AFG,Afghanistan,2020-08-28,38928341.0
AFG,Afghanistan,2020-08-29,38928341.0
AFG,Afghanistan,2020-08-30,38928341.0
AFG,Afghanistan,2020-08-31,38928341.0
AFG,Afghanistan,2020-09-01,38928341.0
AFG,Afghanistan,2020-09-02,38928341.0
AFG,Afghanistan,2020-09-03,38928341.0
AFG,Afghanistan,2020-09-04,38928341.0
AFG,Afghanistan,2020-09-05,38928341.0
AFG,Afghanistan,2020-09-06,38928341.0
AFG,Afghanistan,2020-09-07,38928341.0
AFG,Afghanistan,2020-09-08,38928341.0
AFG,Afghanistan,2020-09-09,38928341.0
AFG,Afghanistan,2020-09-10,38928341.0
AGO,Angola,2020-03-22,32866268.0
AGO,Angola,2020-03-23,32866268.0
AGO,Angola,2020-03-24,32866268.0
AGO,Angola,2020-03-25,32866268.0
AGO,Angola,2020-03-26,32866268.0
AGO,Angola,2020-03-27,32866268.0
AGO,Angola,2020-03-28,32866268.0
AGO,Angola,2020-03-29,32866268.0
AGO,Angola,2020-03-30,32866268.0
AGO,Angola,2020-03-31,32866268.0
AGO,Angola,2020-04-01,32866268.0
AGO,Angola,2020-04-02,32866268.0
AGO,Angola,2020-04-03,32866268.0
AGO,Angola,2020-04-04,32866268.0
AGO,Angola,2020-04-05,32866268.0
AGO,Angola,2020-04-06,32866268.0
AGO,Angola,2020-04-07,32866268.0
AGO,Angola,2020-04-08,32866268.0
AGO,Angola,2020-04-09,32866268.0
AGO,Angola,2020-04-10,32866268.0
AGO,Angola,2020-04-11,32866268.0
AGO,Angola,2020-04-12,32866268.0
AGO,Angola,2020-04-13,32866268.0
AGO,Angola,2020-04-14,32866268.0
AGO,Angola,2020-04-15,32866268.0
AGO,Angola,2020-04-16,32866268.0
AGO,Angola,2020-04-17,32866268.0
AGO,Angola,2020-04-18,32866268.0
AGO,Angola,2020-04-19,32866268.0
AGO,Angola,2020-04-20,32866268.0
AGO,Angola,2020-04-21,32866268.0
AGO,Angola,2020-04-22,32866268.0
AGO,Angola,2020-04-23,32866268.0
AGO,Angola,2020-04-24,32866268.0
AGO,Angola,2020-04-25,32866268.0
AGO,Angola,2020-04-26,32866268.0
AGO,Angola,2020-04-27,32866268.0
AGO,Angola,2020-04-28,32866268.0
AGO,Angola,2020-04-29,32866268.0
AGO,Angola,2020-04-30,32866268.0
AGO,Angola,2020-05-01,32866268.0
AGO,Angola,2020-05-02,32866268.0
AGO,Angola,2020-05-03,32866268.0
AGO,Angola,2020-05-04,32866268.0
AGO,Angola,2020-05-05,32866268.0
AGO,Angola,2020-05-06,32866268.0
AGO,Angola,2020-05-07,32866268.0
AGO,Angola,2020-05-08,32866268.0
AGO,Angola,2020-05-09,32866268.0
AGO,Angola,2020-05-10,32866268.0
AGO,Angola,2020-05-11,32866268.0
AGO,Angola,2020-05-12,32866268.0
AGO,Angola,2020-05-13,32866268.0
AGO,Angola,2020-05-14,32866268.0
AGO,Angola,2020-05-15,32866268.0
AGO,Angola,2020-05-16,32866268.0
AGO,Angola,2020-05-17,32866268.0
AGO,Angola,2020-05-18,32866268.0
AGO,Angola,2020-05-19,32866268.0
AGO,Angola,2020-05-20,32866268.0
AGO,Angola,2020-05-21,32866268.0
AGO,Angola,2020-05-22,32866268.0
AGO,Angola,2020-05-23,32866268.0
AGO,Angola,2020-05-24,32866268.0
AGO,Angola,2020-05-25,32866268.0
AGO,Angola,2020-05-26,32866268.0
AGO,Angola,2020-05-27,32866268.0
AGO,Angola,2020-05-28,32866268.0
AGO,Angola,2020-05-29,32866268.0
AGO,Angola,2020-05-30,32866268.0
AGO,Angola,2020-05-31,32866268.0
AGO,Angola,2020-06-01,32866268.0
AGO,Angola,2020-06-02,32866268.0
AGO,Angola,2020-06-03,32866268.0
AGO,Angola,2020-06-04,32866268.0
AGO,Angola,2020-06-05,32866268.0
AGO,Angola,2020-06-06,32866268.0
AGO,Angola,2020-06-07,32866268.0
AGO,Angola,2020-06-08,32866268.0
AGO,Angola,2020-06-09,32866268.0
AGO,Angola,2020-06-10,32866268.0
AGO,Angola,2020-06-11,32866268.0
AGO,Angola,2020-06-12,32866268.0
AGO,Angola,2020-06-13,32866268.0
AGO,Angola,2020-06-14,32866268.0
AGO,Angola,2020-06-15,32866268.0
AGO,Angola,2020-06-16,32866268.0
AGO,Angola,2020-06-17,32866268.0
AGO,Angola,2020-06-18,32866268.0
AGO,Angola,2020-06-19,32866268.0
AGO,Angola,2020-06-20,32866268.0
AGO,Angola,2020-06-21,32866268.0
AGO,Angola,2020-06-22,32866268.0
AGO,Angola,2020-06-23,32866268.0
AGO,Angola,2020-06-24,32866268.0
AGO,Angola,2020-06-25,32866268.0
AGO,Angola,2020-06-26,32866268.0
AGO,Angola,2020-06-27,32866268.0
AGO,Angola,2020-06-28,32866268.0
AGO,Angola,2020-06-29,32866268.0
AGO,Angola,2020-06-30,32866268.0
AGO,Angola,2020-07-01,32866268.0
AGO,Angola,2020-07-02,32866268.0
AGO,Angola,2020-07-03,32866268.0
AGO,Angola,2020-07-04,32866268.0
AGO,Angola,2020-07-05,32866268.0
AGO,Angola,2020-07-06,32866268.0
AGO,Angola,2020-07-07,32866268.0
AGO,Angola,2020-07-08,32866268.0
AGO,Angola,2020-07-09,32866268.0
AGO,Angola,2020-07-10,32866268.0
AGO,Angola,2020-07-11,32866268.0
AGO,Angola,2020-07-12,32866268.0
AGO,Angola,2020-07-13,32866268.0
AGO,Angola,2020-07-14,32866268.0
AGO,Angola,2020-07-15,32866268.0
AGO,Angola,2020-07-16,32866268.0
AGO,Angola,2020-07-17,32866268.0
AGO,Angola,2020-07-18,32866268.0
AGO,Angola,2020-07-19,32866268.0
AGO,Angola,2020-07-20,32866268.0
AGO,Angola,2020-07-21,32866268.0
AGO,Angola,2020-07-22,32866268.0
AGO,Angola,2020-07-23,32866268.0
AGO,Angola,2020-07-24,32866268.0
AGO,Angola,2020-07-25,32866268.0
AGO,Angola,2020-07-26,32866268.0
AGO,Angola,2020-07-27,32866268.0
AGO,Angola,2020-07-28,32866268.0
AGO,Angola,2020-07-29,32866268.0
AGO,Angola,2020-07-30,32866268.0
AGO,Angola,2020-07-31,32866268.0
AGO,Angola,2020-08-01,32866268.0
AGO,Angola,2020-08-02,32866268.0
AGO,Angola,2020-08-03,32866268.0
AGO,Angola,2020-08-04,32866268.0
AGO,Angola,2020-08-05,32866268.0
AGO,Angola,2020-08-06,32866268.0
AGO,Angola,2020-08-07,32866268.0
AGO,Angola,2020-08-08,32866268.0
AGO,Angola,2020-08-09,32866268.0
AGO,Angola,2020-08-10,32866268.0
AGO,Angola,2020-08-11,32866268.0
AGO,Angola,2020-08-12,32866268.0
AGO,Angola,2020-08-13,32866268.0
AGO,Angola,2020-08-14,32866268.0
AGO,Angola,2020-08-15,32866268.0
AGO,Angola,2020-08-16,32866268.0
AGO,Angola,2020-08-17,32866268.0
AGO,Angola,2020-08-18,32866268.0
