country,indicator,date,value
AGO,jhu-deaths,2020-04-28,2
AGO,jhu-deaths,2020-04-29,2
AGO,jhu-deaths,2020-04-30,2
AGO,jhu-deaths,2020-05-01,2
AGO,jhu-deaths,2020-05-02,2
AGO,jhu-deaths,2020-05-03,2
AGO,jhu-deaths,2020-05-04,2
AGO,jhu-deaths,2020-05-05,2
AGO,jhu-deaths,2020-05-06,2
AGO,jhu-deaths,2020-05-07,2
AGO,jhu-deaths,2020-05-08,2
AGO,jhu-deaths,2020-05-09,2
AGO,jhu-deaths,2020-05-10,2
AGO,jhu-deaths,2020-05-11,2
AGO,jhu-deaths,2020-05-12,2
AGO,jhu-deaths,2020-05-13,2
AGO,jhu-deaths,2020-05-14,2
AGO,jhu-deaths,2020-05-15,2
AGO,jhu-deaths,2020-05-16,2
AGO,jhu-deaths,2020-05-17,2
AGO,jhu-deaths,2020-05-18,3
AGO,jhu-deaths,2020-05-19,3
AGO,jhu-deaths,2020-05-20,3
AGO,jhu-deaths,2020-05-21,3
AGO,jhu-deaths,2020-05-22,3
AGO,jhu-deaths,2020-05-23,4
AGO,jhu-deaths,2020-05-24,4
AGO,jhu-deaths,2020-05-25,4
AGO,jhu-deaths,2020-05-26,4
AGO,jhu-deaths,2020-05-27,4
AGO,jhu-deaths,2020-05-28,4
AGO,jhu-deaths,2020-05-29,4
AGO,jhu-deaths,2020-05-30,4
AGO,jhu-deaths,2020-05-31,4
AGO,jhu-deaths,2020-06-01,4
AGO,jhu-deaths,2020-06-02,4
AGO,jhu-deaths,2020-06-03,4
AGO,jhu-deaths,2020-06-04,4
AGO,jhu-deaths,2020-06-05,4
AGO,jhu-deaths,2020-06-06,4
AGO,jhu-deaths,2020-06-07,4
AGO,jhu-deaths,2020-06-08,4
AGO,jhu-deaths,2020-06-09,4
AGO,jhu-deaths,2020-06-10,4
AGO,jhu-deaths,2020-06-11,5
AGO,jhu-deaths,2020-06-12,5
AGO,jhu-deaths,2020-06-13,6
AGO,jhu-deaths,2020-06-14,6
AGO,jhu-deaths,2020-06-15,6
AGO,jhu-deaths,2020-06-16,6
AGO,jhu-deaths,2020-06-17,7
AGO,jhu-deaths,2020-06-18,8
AGO,jhu-deaths,2020-06-19,8
AGO,jhu-deaths,2020-06-20,9
AGO,jhu-deaths,2020-06-21,9
AGO,jhu-deaths,2020-06-22,10
AGO,jhu-deaths,2020-06-23,10
AGO,jhu-deaths,2020-06-24,10
AGO,jhu-deaths,2020-06-25,10
AGO,jhu-deaths,2020-06-26,10
AGO,jhu-deaths,2020-06-27,10
AGO,jhu-deaths,2020-06-28,11
AGO,jhu-deaths,2020-06-29,11
AGO,jhu-deaths,2020-06-30,13
AGO,jhu-deaths,2020-07-01,15
AGO,jhu-deaths,2020-07-02,17
AGO,jhu-deaths,2020-07-03,18
AGO,jhu-deaths,2020-07-04,19
AGO,jhu-deaths,2020-07-05,19
AGO,jhu-deaths,2020-07-06,19
AGO,jhu-deaths,2020-07-07,21
AGO,jhu-deaths,2020-07-08,21
AGO,jhu-deaths,2020-07-09,22
AGO,jhu-deaths,2020-07-10,23
AGO,jhu-deaths,2020-07-11,23
AGO,jhu-deaths,2020-07-12,26
AGO,jhu-deaths,2020-07-13,26
AGO,jhu-deaths,2020-07-14,26
AGO,jhu-deaths,2020-07-15,27
AGO,jhu-deaths,2020-07-16,28
AGO,jhu-deaths,2020-07-17,29
AGO,jhu-deaths,2020-07-18,29
AGO,jhu-deaths,2020-07-19,29
AGO,jhu-deaths,2020-07-20,29
AGO,jhu-deaths,2020-07-21,30
AGO,jhu-deaths,2020-07-22,33
AGO,jhu-deaths,2020-07-23,33
AGO,jhu-deaths,2020-07-24,35
AGO,jhu-deaths,2020-07-25,39
ALB,jhu-deaths,2020-01-22,0
ALB,jhu-deaths,2020-01-23,0
ALB,jhu-deaths,2020-01-24,0
ALB,jhu-deaths,2020-01-25,0
ALB,jhu-deaths,2020-01-26,0
ALB,jhu-deaths,2020-01-27,0
ALB,jhu-deaths,2020-01-28,0
ALB,jhu-deaths,2020-01-29,0
ALB,jhu-deaths,2020-01-30,0
ALB,jhu-deaths,2020-01-31,0
ALB,jhu-deaths,2020-02-01,0
ALB,jhu-deaths,2020-02-02,0
ALB,jhu-deaths,2020-02-03,0
ALB,jhu-deaths,2020-02-04,0
ALB,jhu-deaths,2020-02-05,0
ALB,jhu-deaths,2020-02-06,0
ALB,jhu-deaths,2020-02-07,0
ALB,jhu-deaths,2020-02-08,0
ALB,jhu-deaths,2020-02-09,0
ALB,jhu-deaths,2020-02-10,0
ALB,jhu-deaths,2020-02-11,0
ALB,jhu-deaths,2020-02-12,0
ALB,jhu-deaths,2020-02-13,0
ALB,jhu-deaths,2020-02-14,0
ALB,jhu-deaths,2020-02-15,0
ALB,jhu-deaths,2020-02-16,0
ALB,jhu-deaths,2020-02-17,0
ALB,jhu-deaths,2020-02-18,0
ALB,jhu-deaths,2020-02-19,0
ALB,jhu-deaths,2020-02-20,0
ALB,jhu-deaths,2020-02-21,0
ALB,jhu-deaths,2020-02-22,0
ALB,jhu-deaths,2020-02-23,0
ALB,jhu-deaths,2020-02-24,0
