iso_code,country,date,owid_cardiovasc_death_rate
AGO,Angola,2020-05-22,276.045
AGO,Angola,2020-05-23,276.045
AGO,Angola,2020-05-24,276.045
AGO,Angola,2020-05-25,276.045
AGO,Angola,2020-05-26,276.045
AGO,Angola,2020-05-27,276.045
AGO,Angola,2020-05-28,276.045
AGO,Angola,2020-05-29,276.045
AGO,Angola,2020-05-30,276.045
AGO,Angola,2020-05-31,276.045
AGO,Angola,2020-06-01,276.045
AGO,Angola,2020-06-02,276.045
AGO,Angola,2020-06-03,276.045
AGO,Angola,2020-06-04,276.045
AGO,Angola,2020-06-05,276.045
AGO,Angola,2020-06-06,276.045
AGO,Angola,2020-06-07,276.045
AGO,Angola,2020-06-08,276.045
AGO,Angola,2020-06-09,276.045
AGO,Angola,2020-06-10,276.045
AGO,Angola,2020-06-11,276.045
AGO,Angola,2020-06-12,276.045
AGO,Angola,2020-06-13,276.045
AGO,Angola,2020-06-14,276.045
AGO,Angola,2020-06-15,276.045
AGO,Angola,2020-06-16,276.045
AGO,Angola,2020-06-17,276.045
AGO,Angola,2020-06-18,276.045
AGO,Angola,2020-06-19,276.045
AGO,Angola,2020-06-20,276.045
AGO,Angola,2020-06-21,276.045
AGO,Angola,2020-06-22,276.045
AGO,Angola,2020-06-23,276.045
AGO,Angola,2020-06-24,276.045
AGO,Angola,2020-06-25,276.045
AGO,Angola,2020-06-26,276.045
AGO,Angola,2020-06-27,276.045
AGO,Angola,2020-06-28,276.045
AGO,Angola,2020-06-29,276.045
AGO,Angola,2020-06-30,276.045
AGO,Angola,2020-07-01,276.045
AGO,Angola,2020-07-02,276.045
AGO,Angola,2020-07-03,276.045
AGO,Angola,2020-07-04,276.045
AGO,Angola,2020-07-05,276.045
AGO,Angola,2020-07-06,276.045
AGO,Angola,2020-07-07,276.045
AGO,Angola,2020-07-08,276.045
AGO,Angola,2020-07-09,276.045
AGO,Angola,2020-07-10,276.045
AGO,Angola,2020-07-11,276.045
AGO,Angola,2020-07-12,276.045
AGO,Angola,2020-07-13,276.045
AGO,Angola,2020-07-14,276.045
AGO,Angola,2020-07-15,276.045
AGO,Angola,2020-07-16,276.045
AGO,Angola,2020-07-17,276.045
AGO,Angola,2020-07-18,276.045
AGO,Angola,2020-07-19,276.045
AGO,Angola,2020-07-20,276.045
AGO,Angola,2020-07-21,276.045
AGO,Angola,2020-07-22,276.045
AGO,Angola,2020-07-23,276.045
AGO,Angola,2020-07-24,276.045
AGO,Angola,2020-07-25,276.045
AGO,Angola,2020-07-26,276.045
AGO,Angola,2020-07-27,276.045
AGO,Angola,2020-07-28,276.045
AGO,Angola,2020-07-29,276.045
AGO,Angola,2020-07-30,276.045
AGO,Angola,2020-07-31,276.045
AGO,Angola,2020-08-01,276.045
AGO,Angola,2020-08-02,276.045
AGO,Angola,2020-08-03,276.045
AGO,Angola,2020-08-04,276.045
AGO,Angola,2020-08-05,276.045
AGO,Angola,2020-08-06,276.045
AGO,Angola,2020-08-07,276.045
AGO,Angola,2020-08-08,276.045
AGO,Angola,2020-08-09,276.045
AGO,Angola,2020-08-10,276.045
AGO,Angola,2020-08-11,276.045
AGO,Angola,2020-08-12,276.045
AGO,Angola,2020-08-13,276.045
AGO,Angola,2020-08-14,276.045
AGO,Angola,2020-08-15,276.045
AGO,Angola,2020-08-16,276.045
