iso_code,country,date,google_mobility_change_retail_and_recreation
AFG,Afghanistan,2020-02-17,6.0
AFG,Afghanistan,2020-02-18,3.0
AFG,Afghanistan,2020-02-19,-1.0
AFG,Afghanistan,2020-02-20,-2.0
AFG,Afghanistan,2020-02-21,0.0
AFG,Afghanistan,2020-02-22,2.0
AFG,Afghanistan,2020-02-23,2.0
AFG,Afghanistan,2020-02-24,3.0
AFG,Afghanistan,2020-02-25,2.0
AFG,Afghanistan,2020-02-26,-1.0
AFG,Afghanistan,2020-02-27,-1.0
AFG,Afghanistan,2020-02-28,-2.0
AFG,Afghanistan,2020-02-29,-1.0
AFG,Afghanistan,2020-03-01,3.0
AFG,Afghanistan,2020-03-02,5.0
AFG,Afghanistan,2020-03-03,3.0
AFG,Afghanistan,2020-03-04,-2.0
AFG,Afghanistan,2020-03-05,3.0
AFG,Afghanistan,2020-03-06,3.0
AFG,Afghanistan,2020-03-07,0.0
AFG,Afghanistan,2020-03-08,5.0
AFG,Afghanistan,2020-03-09,-15.0
AFG,Afghanistan,2020-03-10,0.0
AFG,Afghanistan,2020-03-11,2.0
AFG,Afghanistan,2020-03-12,1.0
AFG,Afghanistan,2020-03-13,3.0
AFG,Afghanistan,2020-03-14,6.0
AFG,Afghanistan,2020-03-15,1.0
AFG,Afghanistan,2020-03-16,1.0
AFG,Afghanistan,2020-03-17,0.0
AFG,Afghanistan,2020-03-18,0.0
AFG,Afghanistan,2020-03-19,-3.0
AFG,Afghanistan,2020-03-20,-15.0
AFG,Afghanistan,2020-03-21,-23.0
AFG,Afghanistan,2020-03-22,-12.0
AFG,Afghanistan,2020-03-23,-11.0
AFG,Afghanistan,2020-03-24,-15.0
AFG,Afghanistan,2020-03-25,-18.0
AFG,Afghanistan,2020-03-26,-18.0
AFG,Afghanistan,2020-03-27,-20.0
AFG,Afghanistan,2020-03-28,-36.0
AFG,Afghanistan,2020-03-29,-38.0
AFG,Afghanistan,2020-03-30,-41.0
AFG,Afghanistan,2020-03-31,-43.0
AFG,Afghanistan,2020-04-01,-44.0
AFG,Afghanistan,2020-04-02,-44.0
AFG,Afghanistan,2020-04-03,-38.0
AFG,Afghanistan,2020-04-04,-43.0
AFG,Afghanistan,2020-04-05,-45.0
AFG,Afghanistan,2020-04-06,-45.0
AFG,Afghanistan,2020-04-07,-41.0
AFG,Afghanistan,2020-04-08,-47.0
AFG,Afghanistan,2020-04-09,-49.0
AFG,Afghanistan,2020-04-10,-41.0
AFG,Afghanistan,2020-04-11,-46.0
AFG,Afghanistan,2020-04-12,-48.0
AFG,Afghanistan,2020-04-13,-46.0
AFG,Afghanistan,2020-04-14,-48.0
AFG,Afghanistan,2020-04-15,-42.0
AFG,Afghanistan,2020-04-16,-46.0
AFG,Afghanistan,2020-04-17,-41.0
AFG,Afghanistan,2020-04-18,-43.0
AFG,Afghanistan,2020-04-19,-43.0
AFG,Afghanistan,2020-04-20,-42.0
AFG,Afghanistan,2020-04-21,-41.0
AFG,Afghanistan,2020-04-22,-42.0
AFG,Afghanistan,2020-04-23,-43.0
AFG,Afghanistan,2020-04-24,-45.0
AFG,Afghanistan,2020-04-25,-48.0
AFG,Afghanistan,2020-04-26,-47.0
AFG,Afghanistan,2020-04-27,-49.0
AFG,Afghanistan,2020-04-28,-45.0
AFG,Afghanistan,2020-04-29,-42.0
AFG,Afghanistan,2020-04-30,-47.0
AFG,Afghanistan,2020-05-01,-45.0
AFG,Afghanistan,2020-05-02,-47.0
AFG,Afghanistan,2020-05-03,-49.0
AFG,Afghanistan,2020-05-04,-45.0
AFG,Afghanistan,2020-05-05,-45.0
AFG,Afghanistan,2020-05-06,-44.0
AFG,Afghanistan,2020-05-07,-44.0
AFG,Afghanistan,2020-05-08,-39.0
AFG,Afghanistan,2020-05-09,-40.0
AFG,Afghanistan,2020-05-10,-40.0
AFG,Afghanistan,2020-05-11,-38.0
AFG,Afghanistan,2020-05-12,-38.0
AFG,Afghanistan,2020-05-13,-38.0
AFG,Afghanistan,2020-05-14,-37.0
AFG,Afghanistan,2020-05-15,-28.0
AFG,Afghanistan,2020-05-16,-28.0
AFG,Afghanistan,2020-05-17,-32.0
AFG,Afghanistan,2020-05-18,-29.0
AFG,Afghanistan,2020-07-03,-14.0
AFG,Afghanistan,2020-07-04,-10.0
AFG,Afghanistan,2020-07-05,-9.0
AFG,Afghanistan,2020-07-06,-7.0
AFG,Afghanistan,2020-07-07,-5.0
