iso_code,country,date,ox_stringency_index
LTU,Lithuania,2020-03-12,30.56
LTU,Lithuania,2020-03-13,47.22
LTU,Lithuania,2020-03-14,47.22
LTU,Lithuania,2020-03-15,47.22
LTU,Lithuania,2020-03-16,81.48
LTU,Lithuania,2020-03-17,81.48
LTU,Lithuania,2020-03-18,81.48
LTU,Lithuania,2020-03-19,81.48
LTU,Lithuania,2020-03-20,81.48
LTU,Lithuania,2020-03-21,81.48
LTU,Lithuania,2020-03-22,81.48
LTU,Lithuania,2020-03-23,81.48
LTU,Lithuania,2020-03-24,81.48
LTU,Lithuania,2020-03-25,81.48
LTU,Lithuania,2020-03-26,81.48
LTU,Lithuania,2020-03-27,81.48
LTU,Lithuania,2020-03-28,81.48
LTU,Lithuania,2020-03-29,81.48
LTU,Lithuania,2020-03-30,81.48
LTU,Lithuania,2020-03-31,81.48
LTU,Lithuania,2020-04-01,81.48
LTU,Lithuania,2020-04-02,81.48
LTU,Lithuania,2020-04-03,81.48
LTU,Lithuania,2020-04-04,81.48
LTU,Lithuania,2020-04-05,81.48
LTU,Lithuania,2020-04-06,81.48
LTU,Lithuania,2020-04-07,81.48
LTU,Lithuania,2020-04-08,81.48
LTU,Lithuania,2020-04-09,81.48
LTU,Lithuania,2020-04-10,87.04
LTU,Lithuania,2020-04-11,87.04
LTU,Lithuania,2020-04-12,87.04
LTU,Lithuania,2020-04-13,87.04
LTU,Lithuania,2020-04-14,81.48
LTU,Lithuania,2020-04-15,81.48
LTU,Lithuania,2020-04-16,81.48
LTU,Lithuania,2020-04-17,81.48
LTU,Lithuania,2020-04-18,81.48
LTU,Lithuania,2020-04-19,81.48
LTU,Lithuania,2020-04-20,81.48
LTU,Lithuania,2020-04-21,81.48
LTU,Lithuania,2020-04-22,81.48
LTU,Lithuania,2020-04-23,81.48
LTU,Lithuania,2020-04-24,81.48
LTU,Lithuania,2020-04-25,81.48
LTU,Lithuania,2020-04-26,81.48
LTU,Lithuania,2020-04-27,77.78
LTU,Lithuania,2020-04-28,77.78
LTU,Lithuania,2020-04-29,77.78
LTU,Lithuania,2020-04-30,77.78
LTU,Lithuania,2020-05-01,77.78
LTU,Lithuania,2020-05-02,77.78
LTU,Lithuania,2020-05-03,77.78
LTU,Lithuania,2020-05-04,77.78
LTU,Lithuania,2020-05-05,77.78
LTU,Lithuania,2020-05-06,77.78
LTU,Lithuania,2020-05-07,77.78
LTU,Lithuania,2020-05-08,77.78
LTU,Lithuania,2020-05-09,77.78
LTU,Lithuania,2020-05-10,77.78
LTU,Lithuania,2020-05-11,75.0
LTU,Lithuania,2020-05-12,75.0
LTU,Lithuania,2020-05-13,75.0
LTU,Lithuania,2020-05-14,75.0
LTU,Lithuania,2020-05-15,75.0
LTU,Lithuania,2020-05-16,75.0
LTU,Lithuania,2020-05-17,75.0
LTU,Lithuania,2020-05-18,71.3
LTU,Lithuania,2020-05-19,71.3
LTU,Lithuania,2020-05-20,71.3
LTU,Lithuania,2020-05-21,71.3
LTU,Lithuania,2020-05-22,71.3
LTU,Lithuania,2020-05-23,71.3
LTU,Lithuania,2020-05-24,71.3
LTU,Lithuania,2020-05-25,71.3
LTU,Lithuania,2020-05-26,71.3
LTU,Lithuania,2020-05-27,71.3
LTU,Lithuania,2020-05-28,71.3
LTU,Lithuania,2020-05-29,71.3
LTU,Lithuania,2020-05-30,63.89
LTU,Lithuania,2020-05-31,63.89
LTU,Lithuania,2020-06-01,52.78
LTU,Lithuania,2020-06-02,52.78
LTU,Lithuania,2020-06-03,52.78
LTU,Lithuania,2020-06-04,52.78
LTU,Lithuania,2020-06-05,52.78
LTU,Lithuania,2020-06-06,52.78
LTU,Lithuania,2020-06-07,52.78
LTU,Lithuania,2020-06-08,52.78
LTU,Lithuania,2020-06-09,52.78
LTU,Lithuania,2020-06-10,52.78
LTU,Lithuania,2020-06-11,52.78
LTU,Lithuania,2020-06-12,52.78
LTU,Lithuania,2020-06-13,52.78
LTU,Lithuania,2020-06-14,52.78
LTU,Lithuania,2020-06-15,52.78
LTU,Lithuania,2020-06-16,52.78
LTU,Lithuania,2020-06-17,30.56
LTU,Lithuania,2020-06-18,30.56
LTU,Lithuania,2020-06-19,30.56
LTU,Lithuania,2020-06-20,30.56
LTU,Lithuania,2020-06-21,30.56
LTU,Lithuania,2020-06-22,30.56
LTU,Lithuania,2020-06-23,30.56
LTU,Lithuania,2020-06-24,30.56
LTU,Lithuania,2020-06-25,30.56
LTU,Lithuania,2020-06-26,30.56
LTU,Lithuania,2020-06-27,30.56
LTU,Lithuania,2020-06-28,30.56
LTU,Lithuania,2020-06-29,27.78
LTU,Lithuania,2020-06-30,27.78
LTU,Lithuania,2020-07-01,27.78
LTU,Lithuania,2020-07-02,27.78
LTU,Lithuania,2020-07-03,27.78
LTU,Lithuania,2020-07-04,27.78
LTU,Lithuania,2020-07-05,27.78
LTU,Lithuania,2020-07-06,27.78
LTU,Lithuania,2020-07-07,27.78
LTU,Lithuania,2020-07-08,27.78
LTU,Lithuania,2020-07-09,27.78
LTU,Lithuania,2020-07-10,27.78
LTU,Lithuania,2020-07-11,27.78
LTU,Lithuania,2020-07-12,27.78
LTU,Lithuania,2020-07-13,27.78
LTU,Lithuania,2020-07-14,27.78
LTU,Lithuania,2020-07-15,27.78
LTU,Lithuania,2020-07-16,27.78
LTU,Lithuania,2020-07-17,27.78
LTU,Lithuania,2020-07-18,27.78
LTU,Lithuania,2020-07-19,27.78
LTU,Lithuania,2020-07-20,27.78
LTU,Lithuania,2020-07-21,27.78
LTU,Lithuania,2020-07-22,27.78
LTU,Lithuania,2020-07-23,27.78
LTU,Lithuania,2020-07-24,27.78
LTU,Lithuania,2020-07-25,27.78
LTU,Lithuania,2020-07-26,27.78
LTU,Lithuania,2020-07-27,30.56
LTU,Lithuania,2020-07-28,30.56
LTU,Lithuania,2020-07-29,30.56
LTU,Lithuania,2020-07-30,30.56
LTU,Lithuania,2020-07-31,30.56
LTU,Lithuania,2020-08-01,30.56
LTU,Lithuania,2020-08-02,30.56
LTU,Lithuania,2020-08-03,30.56
LTU,Lithuania,2020-08-04,30.56
LTU,Lithuania,2020-08-05,30.56
LTU,Lithuania,2020-08-06,30.56
LTU,Lithuania,2020-08-07,19.44
LTU,Lithuania,2020-08-08,19.44
LTU,Lithuania,2020-08-09,19.44
LTU,Lithuania,2020-08-10,19.44
LTU,Lithuania,2020-08-11,19.44
LTU,Lithuania,2020-08-12,19.44
LTU,Lithuania,2020-08-13,19.44
LTU,Lithuania,2020-08-14,19.44
LTU,Lithuania,2020-08-15,19.44
LTU,Lithuania,2020-08-16,19.44
LUX,Luxembourg,2020-01-01,0.0
LUX,Luxembourg,2020-01-02,0.0
LUX,Luxembourg,2020-01-03,0.0
LUX,Luxembourg,2020-01-04,0.0
LUX,Luxembourg,2020-01-05,0.0
LUX,Luxembourg,2020-01-06,0.0
LUX,Luxembourg,2020-01-07,0.0
LUX,Luxembourg,2020-01-08,0.0
LUX,Luxembourg,2020-01-09,0.0
LUX,Luxembourg,2020-01-10,0.0
LUX,Luxembourg,2020-01-11,0.0
LUX,Luxembourg,2020-01-12,0.0
LUX,Luxembourg,2020-01-13,0.0
LUX,Luxembourg,2020-01-14,0.0
LUX,Luxembourg,2020-01-15,0.0
LUX,Luxembourg,2020-01-16,0.0
LUX,Luxembourg,2020-01-17,0.0
LUX,Luxembourg,2020-01-18,0.0
LUX,Luxembourg,2020-01-19,0.0
LUX,Luxembourg,2020-01-20,0.0
LUX,Luxembourg,2020-01-21,0.0
LUX,Luxembourg,2020-01-22,0.0
LUX,Luxembourg,2020-01-23,0.0
LUX,Luxembourg,2020-01-24,0.0
LUX,Luxembourg,2020-01-25,0.0
LUX,Luxembourg,2020-01-26,0.0
LUX,Luxembourg,2020-01-27,0.0
LUX,Luxembourg,2020-01-28,0.0
LUX,Luxembourg,2020-01-29,0.0
LUX,Luxembourg,2020-01-30,0.0
LUX,Luxembourg,2020-01-31,0.0
LUX,Luxembourg,2020-02-01,0.0
LUX,Luxembourg,2020-02-02,0.0
LUX,Luxembourg,2020-02-03,0.0
LUX,Luxembourg,2020-02-04,0.0
LUX,Luxembourg,2020-02-05,0.0
LUX,Luxembourg,2020-02-06,0.0
LUX,Luxembourg,2020-02-07,0.0
LUX,Luxembourg,2020-02-08,0.0
LUX,Luxembourg,2020-02-09,0.0
LUX,Luxembourg,2020-02-10,0.0
LUX,Luxembourg,2020-02-11,0.0
LUX,Luxembourg,2020-02-12,0.0
LUX,Luxembourg,2020-02-13,0.0
LUX,Luxembourg,2020-02-14,0.0
LUX,Luxembourg,2020-02-15,0.0
LUX,Luxembourg,2020-02-16,0.0
LUX,Luxembourg,2020-02-17,0.0
LUX,Luxembourg,2020-02-18,0.0
LUX,Luxembourg,2020-02-19,0.0
LUX,Luxembourg,2020-02-20,0.0
LUX,Luxembourg,2020-02-21,0.0
LUX,Luxembourg,2020-02-22,0.0
LUX,Luxembourg,2020-02-23,0.0
LUX,Luxembourg,2020-02-24,0.0
LUX,Luxembourg,2020-02-25,0.0
LUX,Luxembourg,2020-02-26,0.0
LUX,Luxembourg,2020-02-27,0.0
LUX,Luxembourg,2020-02-28,0.0
LUX,Luxembourg,2020-02-29,0.0
LUX,Luxembourg,2020-03-01,0.0
LUX,Luxembourg,2020-03-02,0.0
LUX,Luxembourg,2020-03-03,0.0
LUX,Luxembourg,2020-03-04,0.0
LUX,Luxembourg,2020-03-05,11.11
LUX,Luxembourg,2020-03-06,11.11
LUX,Luxembourg,2020-03-07,11.11
LUX,Luxembourg,2020-03-08,11.11
LUX,Luxembourg,2020-03-09,22.22
LUX,Luxembourg,2020-03-10,22.22
LUX,Luxembourg,2020-03-11,22.22
LUX,Luxembourg,2020-03-12,31.48
LUX,Luxembourg,2020-03-13,42.59
LUX,Luxembourg,2020-03-14,42.59
LUX,Luxembourg,2020-03-15,53.7
LUX,Luxembourg,2020-03-16,72.22
LUX,Luxembourg,2020-03-17,79.63
LUX,Luxembourg,2020-03-18,79.63
LUX,Luxembourg,2020-03-19,79.63
LUX,Luxembourg,2020-03-20,79.63
